TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr10p11.2	human chr10p11.2	4.51014452552444e-07	-14.6117664523864	8	5	0.00439753737906772	1137	46611	6935,7581,57209,3688,7587	ZEB1,ZNF33A,ZNF248,ITGB1,ZNF37A
human chr1q25	human chr1q25	3.96710377106493e-05	-10.1348891652057	27	6	0.00527704485488127	1137	46611	6646,9887,7175,79577,80267,1660	SOAT1,SMG7,TPR,CDC73,EDEM3,DHX9
human chr1p22.1	human chr1p22.1	0.000216508229585649	-8.43788199930121	36	6	0.00527704485488127	1137	46611	9411,54874,1810,79871,343099,22823	ARHGAP29,FNBP1L,DR1,RPAP2,CCDC18,MTF2
human chr15q21.2	human chr15q21.2	0.000858385132554402	-7.06045768674838	31	5	0.00439753737906772	1137	46611	56986,2252,123169,2553,9101	DTWD1,FGF7,LEO1,GABPB1,USP8
human chr1q32	human chr1q32	0.0011880968686989	-6.735402522057	49	6	0.00527704485488127	1137	46611	9261,1465,6051,51377,9926,4194	MAPKAPK2,CSRP1,RNPEP,UCHL5,LPGAT1,MDM4
human chr4p15.31	human chr4p15.31	0.00152791768598798	-6.48384946011559	10	3	0.00263852242744063	1137	46611	54876,254251,133015	DCAF16,LCORL,PACRGL
human chr15q24	human chr15q24	0.00181396380927648	-6.31224087827295	22	4	0.00351802990325418	1137	46611	49855,60677,25820,10518	SCAPER,CELF6,ARIH1,CIB2
human chr14q23.2	human chr14q23.2	0.00181396380927648	-6.31224087827295	22	4	0.00351802990325418	1137	46611	57381,2100,23224,112840	RHOJ,ESR2,SYNE2,WDR89
human chr5q21	human chr5q21	0.00270081627709965	-5.91420122681108	12	3	0.00263852242744063	1137	46611	2241,80315,10007	FER,CPEB4,GNPDA1
human chr4q28.2	human chr4q28.2	0.00344770814073305	-5.67004557572245	13	3	0.00263852242744063	1137	46611	55132,132320,256471	LARP1B,SCLT1,MFSD8
human chr20p12	human chr20p12	0.00430891754029445	-5.44706855715386	14	3	0.00263852242744063	1137	46611	5332,23236,6238	PLCB4,PLCB1,RRBP1
human chr10q25.3	human chr10q25.3	0.00514590037162202	-5.26955492566328	29	4	0.00351802990325418	1137	46611	57700,55088,5223,6934	FAM160B1,C10orf118,PGAM1,TCF7L2
human chr13q32.1	human chr13q32.1	0.00639278921573989	-5.05258460884389	16	3	0.00263852242744063	1137	46611	55757,160897,10150	UGGT2,GPR180,MBNL2
human chr3q12.3	human chr3q12.3	0.00639278921573989	-5.05258460884389	16	3	0.00263852242744063	1137	46611	54931,27107,91775	TRMT10C,ZBTB11,NXPE3
human chr2p23	human chr2p23	0.00762332743708587	-4.87654233306327	17	3	0.00263852242744063	1137	46611	8648,1788,84450	NCOA1,DNMT3A,ZNF512
human chr6q24.2	human chr6q24.2	0.00762332743708587	-4.87654233306327	17	3	0.00263852242744063	1137	46611	9749,51390,84946	PHACTR2,AIG1,LTV1
human chr1q41-q42	human chr1q41-q42	0.00835444034061917	-4.78496210414316	6	2	0.00175901495162709	1137	46611	824,142	CAPN2,PARP1
human chr15q14	human chr15q14	0.00862904079730338	-4.75262192753768	52	5	0.00439753737906772	1137	46611	89978,283742,79768,23269,161779	DPH6,FAM98B,KATNBL1,MGA,PGBD4
human chr18q12.2	human chr18q12.2	0.00898399554693932	-4.71231055721182	18	3	0.00263852242744063	1137	46611	100101467,84307,25800	ZSCAN30,ZNF397,SLC39A6
human chr12p12.3	human chr12p12.3	0.00912896768118923	-4.69630265964106	34	4	0.00351802990325418	1137	46611	11228,55885,121536,2059	RASSF8,LMO3,AEBP2,EPS8
human chr6q14-q15	human chr6q14-q15	0.0115078983948896	-4.46472166241683	7	2	0.00175901495162709	1137	46611	134728,10492	IRAK1BP1,SYNCRIP
