TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.25.10.10	-	6.45241262882005e-06	-11.9510564461164	209	33	0.0554621848739496	595	8569	9320,4763,23451,55183,54919,23041,25836,9731,1499,25896,25814,23198,253260,23332,3837,1315,83876,5591,133015,8546,25938,57650,23244,23116,5529,63897,7514,3840,3839,51719,55705,164,5711	TRIP12,NF1,SF3B1,RIF1,HEATR2,MON2,NIPBL,CEP104,CTNNB1,INTS7,ATXN10,PSME4,RICTOR,CLASP1,KPNB1,COPB1,MRO,PRKDC,PACRGL,AP3B1,HEATR5A,KIAA1524,PDS5A,FAM179B,PPP2R5E,HEATR6,XPO1,KPNA4,KPNA3,CAB39,IPO9,AP1G1,PSMD5
3.30.70.330	-	6.31738261695504e-05	-9.66962048547917	243	34	0.0571428571428571	595	8569	84365,23112,55599,2130,10659,80315,57466,7072,22985,9667,5073,220988,5936,55696,3191,23435,55285,4850,27332,4841,1975,6430,10181,10492,58517,9908,6294,60677,27336,23350,64062,10891,10146,132864	NIFK,TNRC6B,RNPC3,EWSR1,CELF2,CPEB4,SCAF4,TIA1,ACIN1,SAFB2,PARN,HNRNPA3,RBM4,RBM22,HNRNPL,TARDBP,RBM41,CNOT4,ZNF638,NONO,EIF4B,SRSF5,RBM5,SYNCRIP,RBM25,G3BP2,SAFB,CELF6,HTATSF1,U2SURP,RBM26,PPARGC1A,G3BP1,CPEB2
3.30.40.10	-	0.00046144941494659	-7.68113812011222	435	49	0.0823529411764706	595	8569	64795,55870,23469,546,55904,51131,4194,55680,54904,115825,23032,9354,6596,51773,8411,6015,9372,57534,50862,57590,22992,6672,9960,197131,23759,26046,1108,200576,4850,25820,79596,51105,8284,81603,10771,7468,84937,55632,51230,4302,89122,51283,64324,29994,57630,5253,22823,5930,7994	RMND5A,ASH1L,PHF3,ATRX,KMT2E,PHF11,MDM4,RUFY2,WHSC1L1,WDFY2,USP33,UBE4A,HLTF,RSF1,EEA1,RING1,ZFYVE9,MIB1,RNF141,WDFY1,KDM2A,SP100,USP3,UBR1,PPIL2,LTN1,CHD4,PIKFYVE,CNOT4,ARIH1,RNF219,PHF20L1,KDM5D,TRIM8,ZMYND11,WHSC1,ZNRF1,G2E3,PHF20,MLLT6,TRIM4,BFAR,NSD1,BAZ2B,SH3RF1,PHF2,MTF2,RBBP6,KAT6A
1.10.418.10	-	0.00105302290938288	-6.85609028976794	71	13	0.0218487394957983	595	8569	10634,1756,9459,8874,6711,8826,23224,23384,92521,87,23499,23301,23143	GAS2L1,DMD,ARHGEF6,ARHGEF7,SPTBN1,IQGAP1,SYNE2,SPECC1L,SPECC1,ACTN1,MACF1,EHBP1,LRCH1
3.90.520.10	-	0.00128551606468086	-6.65659503450183	8	4	0.00672268907563025	595	8569	4090,4087,4089,4092	SMAD5,SMAD2,SMAD4,SMAD7
3.90.228.10	-	0.00487008619652251	-5.324643642553	17	5	0.00840336134453781	595	8569	142,54625,25976,8658,83666	PARP1,PARP14,TIPARP,TNKS,PARP9
1.20.920.10	-	0.00856526669402325	-4.76004001003487	43	8	0.0134453781512605	595	8569	6595,55870,29994,55023,54014,6672,10771,55193	SMARCA2,ASH1L,BAZ2B,PHIP,BRWD1,SP100,ZMYND11,PBRM1
2.60.200.10	-	0.0214040341302434	-3.84417586396122	16	4	0.00672268907563025	595	8569	4090,4087,4089,4092	SMAD5,SMAD2,SMAD4,SMAD7
1.10.30.10	-	0.0257619125515004	-3.65885813549035	52	8	0.0134453781512605	595	8569	5378,7019,6672,56987,7468,55193,6934,6660	PMS1,TFAM,SP100,BBX,WHSC1,PBRM1,TCF7L2,SOX5
1.10.10.440	-	0.0262865782108008	-3.63869680425331	4	2	0.00336134453781513	595	8569	10915,55660	TCERG1,PRPF40A
