TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Response to antineoplastic agents(PMID:21659360)	Response to antineoplastic agents(PMID:21659360)	0.0140074303359374	-4.26816735187738	3	2	0.0117647058823529	170	2423	5529,1063	PPP2R5E,CENPF
Height(PMID:18391952)	Height(PMID:18391952)	0.0173159410174097	-4.0561277556562	15	4	0.0235294117647059	170	2423	64771,253461,254251,1021	C6orf106,ZBTB38,LCORL,CDK6
Depression (quantitative trait)(PMID:20800221)	Depression (quantitative trait)(PMID:20800221)	0.0267263068331149	-3.62210692399191	4	2	0.0117647058823529	170	2423	8665,6095	EIF3F,RORA
Height(PMID:20881960)	Height(PMID:20881960)	0.038437364501059	-3.25872525859731	109	13	0.0764705882352941	170	2423	2241,3643,253461,8738,3480,254251,54808,55297,6586,4925,1021,23429,56995	FER,INSR,ZBTB38,CRADD,IGF1R,LCORL,DYM,CCDC91,SLIT3,NUCB2,CDK6,RYBP,TULP4
RR interval (heart rate)(PMID:20031603)	RR interval (heart rate)(PMID:20031603)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	55691,10000	FRMD4A,AKT3
Height(PMID:22021425)	Height(PMID:22021425)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	254251,54808	LCORL,DYM
Type 2 diabetes(PMID:22158537)	Type 2 diabetes(PMID:22158537)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	169792,10296	GLIS3,MAEA
Prion diseases(PMID:22210626)	Prion diseases(PMID:22210626)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	253461,80315	ZBTB38,CPEB4
Bipolar disorder and major depressive disorder (combined)(PMID:20351715)	Bipolar disorder and major depressive disorder (combined)(PMID:20351715)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	79633,9988	FAT4,DMTF1
Smoking behavior(PMID:19247474)	Smoking behavior(PMID:19247474)	0.0425070377109112	-3.1580856235629	5	2	0.0117647058823529	170	2423	87,56987	ACTN1,BBX
Height(PMID:19343178)	Height(PMID:19343178)	0.046638966321711	-3.06531890009907	12	3	0.0176470588235294	170	2423	253461,254251,1021	ZBTB38,LCORL,CDK6
Response to antidepressant treatment(PMID:22041458)	Response to antidepressant treatment(PMID:22041458)	0.0608624163686173	-2.7991394315779	6	2	0.0117647058823529	170	2423	1756,9863	DMD,MAGI2
Temperament (bipolar disorder)(PMID:22365631)	Temperament (bipolar disorder)(PMID:22365631)	0.0608624163686173	-2.7991394315779	6	2	0.0117647058823529	170	2423	54014,25896	BRWD1,INTS7
Working memory(PMID:21107309)	Working memory(PMID:21107309)	0.0608624163686173	-2.7991394315779	6	2	0.0117647058823529	170	2423	56899,50618	ANKS1B,ITSN2
Thyroid volume(PMID:21565293)	Thyroid volume(PMID:21565293)	0.0701609574905647	-2.65696328376839	1	1	0.00588235294117647	170	2423	832	CAPZB
