TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
rxr_vdr_pathway	RXR and RAR heterodimerization with other nuclear receptor	0.0006290394450155	-7.3713165925536	14	6	0.0310880829015544	193	2242	84498,6198,596,8648,5469,6256	FAM120B,RPS6KB1,BCL2,NCOA1,MED1,RXRA
cdc42_pathway	CDC42 signaling events	0.000736009274684789	-7.2142678378409	71	15	0.077720207253886	193	2242	5599,1499,9459,8874,8826,5295,2059,2932,6198,55740,10093,10097,8476,1386,1432	MAPK8,CTNNB1,ARHGEF6,ARHGEF7,IQGAP1,PIK3R1,EPS8,GSK3B,RPS6KB1,ENAH,ARPC4,ACTR2,CDC42BPA,ATF2,MAPK14
tgfbrpathway	TGF-beta receptor signaling	0.000924308944302837	-6.98646418690077	51	12	0.0621761658031088	193	2242	4087,1499,6711,83737,4092,11059,6198,6885,7531,7048,4089,9372	SMAD2,CTNNB1,SPTBN1,ITCH,SMAD7,WWP1,RPS6KB1,MAP3K7,YWHAE,TGFBR2,SMAD4,ZFYVE9
angiopoietinreceptor_pathway	Angiopoietin receptor Tie2-mediated signaling	0.00190363449070838	-6.26399033020717	48	11	0.0569948186528497	193	2242	5599,7010,2247,5295,5781,3688,6198,1998,1432,2113,284	MAPK8,TEK,FGF2,PIK3R1,PTPN11,ITGB1,RPS6KB1,ELF2,MAPK14,ETS1,ANGPT1
ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction	0.00558485106269652	-5.18769751419408	40	9	0.0466321243523316	193	2242	3480,1499,51474,55740,87,6093,4646,7414,4026	IGF1R,CTNNB1,LIMA1,ENAH,ACTN1,ROCK1,MYO6,VCL,LPP
il1pathway	IL1-mediated signaling events	0.00803373077882536	-4.82410625383489	35	8	0.0414507772020725	193	2242	5599,3554,5295,11213,51135,7335,6885,23085	MAPK8,IL1R1,PIK3R1,IRAK3,IRAK4,UBE2V1,MAP3K7,ERC1
p53regulationpathway	p53 pathway	0.00891524841711613	-4.71999216298334	58	11	0.0569948186528497	193	2242	5599,7874,10075,28996,53944,8493,4194,2932,7528,1452,1432	MAPK8,USP7,HUWE1,HIPK2,CSNK1G1,PPM1D,MDM4,GSK3B,YY1,CSNK1A1,MAPK14
bard1pathway	BARD1 signaling events	0.00953865647473177	-4.65240263418043	29	7	0.0362694300518135	193	2242	4361,2130,11073,5591,10111,7332,4683	MRE11A,EWSR1,TOPBP1,PRKDC,RAD50,UBE2L3,NBN
nfat_3pathway	Role of Calcineurin-dependent NFAT signaling in lymphocytes	0.00985139657020521	-4.62014205007133	51	10	0.0518134715025907	193	2242	5599,7514,2932,596,23523,7531,1452,1432,3837,7532	MAPK8,XPO1,GSK3B,BCL2,CABIN1,YWHAE,CSNK1A1,MAPK14,KPNB1,YWHAG
kitpathway	Signaling events mediated by Stem cell factor receptor (c-Kit)	0.011305627595457	-4.48245465993622	52	10	0.0518134715025907	193	2242	5599,2241,5295,5781,6772,4254,2932,596,6198,5605	MAPK8,FER,PIK3R1,PTPN11,STAT1,KITLG,GSK3B,BCL2,RPS6KB1,MAP2K2
avb3_integrin_pathway	Integrins in angiogenesis	0.0143138984414692	-4.24652429473986	46	9	0.0466321243523316	193	2242	3480,2247,5295,5781,6198,6093,7422,7048,7414	IGF1R,FGF2,PIK3R1,PTPN11,RPS6KB1,ROCK1,VEGFA,TGFBR2,VCL
foxopathway	FoxO family signaling	0.016422436360514	-4.10910680834511	47	9	0.0466321243523316	193	2242	5599,7874,847,7514,1499,53944,7531,1452,7532	MAPK8,USP7,CAT,XPO1,CTNNB1,CSNK1G1,YWHAE,CSNK1A1,YWHAG
