TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00632	HECT	2.55883945978293e-06	-12.8759567382829	27	10	0.0100704934541793	993	16020	9320,10075,83737,8925,79654,11059,55632,143279,4734,11060	TRIP12,HUWE1,ITCH,HERC1,HECTD3,WWP1,G2E3,HECTD2,NEDD4,WWP2
PF00628	PHD	1.13461356411837e-05	-11.3866333441531	67	15	0.0151057401812689	993	16020	51105,64324,8284,55870,23469,29994,6672,55904,7468,1108,5253,51773,22823,7994,51230	PHF20L1,NSD1,KDM5D,ASH1L,PHF3,BAZ2B,SP100,KMT2E,WHSC1,CHD4,PHF2,RSF1,MTF2,KAT6A,PHF20
PF08699	DUF1785	1.46785241495256e-05	-11.1291250746053	4	4	0.0040281973816717	993	16020	192670,26523,27161,192669	AGO4,AGO1,AGO2,AGO3
PF00397	WW	2.77036957837828e-05	-10.4939447318737	41	11	0.0110775427995972	993	16020	1756,51741,83737,25937,11059,9863,10915,260425,4734,11060,55660	DMD,WWOX,ITCH,WWTR1,WWP1,MAGI2,TCERG1,MAGI3,NEDD4,WWP2,PRPF40A
PF00855	PWWP	3.09955349080616e-05	-10.381667399077	22	8	0.0080563947633434	993	16020	114825,64324,1788,3068,10771,84656,7468,54904	PWWP2A,NSD1,DNMT3A,HDGF,ZMYND11,GLYR1,WHSC1,WHSC1L1
PF03165	MH1	3.73427249630036e-05	-10.1953724454646	12	6	0.00604229607250755	993	16020	4090,4087,4089,4092,4784,4774	SMAD5,SMAD2,SMAD4,SMAD7,NFIX,NFIA
PF04433	SWIRM	6.97669812913688e-05	-9.57034970751976	5	4	0.0040281973816717	993	16020	6601,6599,114803,6871	SMARCC2,SMARCC1,MYSM1,TADA2A
PF02170	PAZ	9.25170698889871e-05	-9.28811739113078	9	5	0.00503524672708963	993	16020	192670,26523,27161,192669,23405	AGO4,AGO1,AGO2,AGO3,DICER1
PF00307	CH	9.80414014850263e-05	-9.23012070437363	71	14	0.014098690835851	993	16020	10634,1756,9459,8874,6711,8826,23224,23384,92521,23271,87,23499,23301,23143	GAS2L1,DMD,ARHGEF6,ARHGEF7,SPTBN1,IQGAP1,SYNE2,SPECC1L,SPECC1,CAMSAP2,ACTN1,MACF1,EHBP1,LRCH1
PF14360	PAP2_C	0.00023748072859268	-8.34542408054949	3	3	0.00302114803625378	993	16020	166929,142891,259230	SGMS2,SAMD8,SGMS1
PF00076	RRM_1	0.00029146774133194	-8.14058122268191	179	24	0.0241691842900302	993	16020	84365,10659,55599,4841,80315,1975,57466,7072,6430,9667,220988,5936,10492,58517,9908,60677,55696,27336,23350,23435,55285,10891,10146,132864	NIFK,CELF2,RNPC3,NONO,CPEB4,EIF4B,SCAF4,TIA1,SRSF5,SAFB2,HNRNPA3,RBM4,SYNCRIP,RBM25,G3BP2,CELF6,RBM22,HTATSF1,U2SURP,TARDBP,RBM41,PPARGC1A,G3BP1,CPEB2
PF02463	SMC_N	0.000441455274641989	-7.72543384624093	7	4	0.0040281973816717	993	16020	23137,10592,10051,8243	SMC5,SMC2,SMC4,SMC1A
PF06467	zf-FCS	0.000441455274641989	-7.72543384624093	7	4	0.0040281973816717	993	16020	9202,9204,7750,9205	ZMYM4,ZMYM6,ZMYM2,ZMYM5
PF00789	UBX	0.000496995361920907	-7.60692986406228	12	5	0.00503524672708963	993	16020	26043,165324,23190,23197,55968	UBXN7,UBXN2A,UBXN4,FAF2,NSFL1C
PF02338	OTU	0.000766547406543025	-7.17361401349835	13	5	0.00503524672708963	993	16020	80124,54726,54764,56957,79868	VCPIP1,OTUD4,ZRANB1,OTUD7B,ALG13
PF02171	Piwi	0.000839574024475641	-7.08261590847204	8	4	0.0040281973816717	993	16020	192670,26523,27161,192669	AGO4,AGO1,AGO2,AGO3
PF03166	MH2	0.000839574024475641	-7.08261590847204	8	4	0.0040281973816717	993	16020	4090,4087,4089,4092	SMAD5,SMAD2,SMAD4,SMAD7
PF00856	SET	0.00195658341718638	-6.23655548129814	38	8	0.0080563947633434	993	16020	64324,55870,55904,79813,7468,54904,2145,7799	NSD1,ASH1L,KMT2E,EHMT1,WHSC1,WHSC1L1,EZH1,PRDM2
PF01603	B56	0.00216006788291586	-6.13761563050403	5	3	0.00302114803625378	993	16020	5527,5529,5525	PPP2R5C,PPP2R5E,PPP2R5A
PF00439	Bromodomain	0.00233004366665922	-6.06186827052468	39	8	0.0080563947633434	993	16020	6595,55870,29994,55023,54014,6672,10771,55193	SMARCA2,ASH1L,BAZ2B,PHIP,BRWD1,SP100,ZMYND11,PBRM1
PF00271	Helicase_C	0.00244080303325493	-6.01542818183277	107	15	0.0151057401812689	993	16020	23586,1654,55636,6595,80205,546,2071,23405,375748,55308,1660,11218,1108,6596,83479	DDX58,DDX3X,CHD7,SMARCA2,CHD9,ATRX,ERCC3,DICER1,ERCC6L2,DDX19A,DHX9,DDX20,CHD4,HLTF,DDX59
PF00435	Spectrin	0.00286189622134973	-5.85627085938941	24	6	0.00604229607250755	993	16020	87,1756,23499,6711,23224,7204	ACTN1,DMD,MACF1,SPTBN1,SYNE2,TRIO
PF00176	SNF2_N	0.00295108502820654	-5.82558237008281	32	7	0.00704934541792548	993	16020	55636,1108,80205,6595,6596,546,375748	CHD7,CHD4,CHD9,SMARCA2,HLTF,ATRX,ERCC6L2
PF00069	Pkinase	0.00315525962763679	-5.75868449552307	360	36	0.0362537764350453	993	16020	5599,9891,11213,7204,1452,1432,7048,55589,5218,10746,65125,23683,51135,57396,51755,1021,6787,8573,4139,57551,54861,8476,204851,25778,5605,9262,9261,53944,28996,10000,2932,79858,6198,6093,4752,7443	MAPK8,NUAK1,IRAK3,TRIO,CSNK1A1,MAPK14,TGFBR2,BMP2K,CDK14,MAP3K2,WNK1,PRKD3,IRAK4,CLK4,CDK12,CDK6,NEK4,CASK,MARK1,TAOK1,SNRK,CDC42BPA,HIPK1,DSTYK,MAP2K2,STK17B,MAPKAPK2,CSNK1G1,HIPK2,AKT3,GSK3B,NEK11,RPS6KB1,ROCK1,NEK3,VRK1
PF06427	UDP-g_GGTase	0.00383851292688423	-5.56267024601038	2	2	0.00201409869083585	993	16020	55757,56886	UGGT2,UGGT1
