TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00449	RASTRNSFRMNG	0.000190174061543799	-8.56757079179113	135	16	0.0747663551401869	214	4975	9886,7879,55207,5862,10139,285282,8766,10890,388,5898,5906,390,10124,57381,51209,27314	RHOBTB1,RAB7A,ARL8B,RAB2A,ARFRP1,RABL3,RAB11A,RAB10,RHOB,RALA,RAP1A,RND3,ARL4A,RHOJ,RAB9B,RAB30
PR01415	ANKYRIN	0.00071911718085459	-7.23748623597799	109	13	0.0607476635514019	214	4975	57498,56899,287,79813,26064,54776,55075,23253,140460,8658,2553,27130,57534	KIDINS220,ANKS1B,ANK2,EHMT1,RAI14,PPP1R12C,UACA,ANKRD12,ASB7,TNKS,GABPB1,INVS,MIB1
PR00366	ENDOTHELINR	0.00184202071878297	-6.29689209323021	2	2	0.00934579439252336	214	4975	1910,1909	EDNRB,EDNRA
PR00893	RABESCORT	0.00184202071878297	-6.29689209323021	2	2	0.00934579439252336	214	4975	1121,1122	CHM,CHML
PR01950	LANCSUPER	0.00536901072166763	-5.22711161058568	3	2	0.00934579439252336	214	4975	10314,55915	LANCL1,LANCL2
PR01951	LANCEUKARYTE	0.00536901072166763	-5.22711161058568	3	2	0.00934579439252336	214	4975	10314,55915	LANCL1,LANCL2
PR00320	GPROTEINBRPT	0.00949425532236795	-4.65706836619082	84	9	0.0420560747663551	214	4975	11137,57590,79718,9948,59345,26118,80344,10885,115825	PWP1,WDFY1,TBL1XR1,WDR1,GNB4,WSB1,DCAF11,WDR3,WDFY2
PR00421	THIOREDOXIN	0.0100217017642767	-4.60300236099189	11	3	0.014018691588785	214	4975	2923,25828,54495	PDIA3,TXN2,TMX3
PR00891	RABGDIREP	0.0104339159149097	-4.5626936331733	4	2	0.00934579439252336	214	4975	1121,1122	CHM,CHML
PR00503	BROMODOMAIN	0.0124661121689024	-4.38474134264924	33	5	0.0233644859813084	214	4975	6595,55193,29994,55023,54014	SMARCA2,PBRM1,BAZ2B,PHIP,BRWD1
PR00047	STROIDFINGER	0.0131146831322781	-4.33402282666596	46	6	0.0280373831775701	214	4975	367,2100,6095,7067,6256,7182	AR,ESR2,RORA,THRA,RXRA,NR2C2
PR00398	STRDHORMONER	0.0145102035568138	-4.23290318345848	47	6	0.0280373831775701	214	4975	367,2100,6095,7067,6256,7182	AR,ESR2,RORA,THRA,RXRA,NR2C2
PR00452	SH3DOMAIN	0.023777823011626	-3.73900193894021	82	8	0.0373831775700935	214	4975	23607,54806,57630,9459,8874,3275,50618,30011	CD2AP,AHI1,SH3RF1,ARHGEF6,ARHGEF7,PRMT2,ITSN2,SH3KBP1
PR00475	HEXOKINASE	0.0246358930992396	-3.70355083037606	6	2	0.00934579439252336	214	4975	3098,10020	HK1,GNE
PR00314	CLATHRINADPT	0.0246358930992396	-3.70355083037606	6	2	0.00934579439252336	214	4975	1173,10947	AP2M1,AP3M2
PR00103	CAMPKINASE	0.0246358930992396	-3.70355083037606	6	2	0.00934579439252336	214	4975	10411,5576	RAPGEF3,PRKAR2A
PR00318	GPROTEINA	0.0290345698758529	-3.53926809425604	16	3	0.014018691588785	214	4975	2778,2776,2771	GNAS,GNAQ,GNAI2
PR00305	1433ZETA	0.0335239220685142	-3.39549600339577	7	2	0.00934579439252336	214	4975	7531,7532	YWHAE,YWHAG
PR00747	GLYHDRLASE47	0.0335239220685142	-3.39549600339577	7	2	0.00934579439252336	214	4975	4121,80267	MAN1A1,EDEM3
PR00633	RCCNDNSATION	0.0341652990840465	-3.37654479668127	17	3	0.014018691588785	214	4975	6103,8925,57679	RPGR,HERC1,ALS2
PR00263	HBGFFGF	0.0397326611430821	-3.22558173070198	18	3	0.014018691588785	214	4975	2252,2258,2247	FGF7,FGF13,FGF2
PR01578	KCNAB1CHANEL	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	7881	KCNAB1
PR01858	ADAMTS1	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	9510	ADAMTS1
PR01001	FADG3PDH	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	2820	GPD2
PR00806	VINCULIN	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	7414	VCL
PR00570	ENDOTHELINAR	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	1909	EDNRA
PR01833	VEGFRECEPTR1	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	2321	FLT1
PR02057	PROTEINF105B	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	90268	FAM105B
PR01866	APOPREGMCL1	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	4170	MCL1
PR00571	ENDOTHELINBR	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	1910	EDNRB
PR00067	CATALASE	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	847	CAT
PR02053	BRISCABRO1	0.0430150753770901	-3.14620463456606	1	1	0.00467289719626168	214	4975	23172	FAM175B
