TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50016	ZF_PHD_2	1.48450450118558e-07	-15.7230146036189	98	22	0.0278833967046895	789	12441	51105,8284,55870,23469,55904,10771,51131,7468,54904,51773,84295,55632,51230,4302,64324,29994,6672,22992,5253,1108,22823,7994	PHF20L1,KDM5D,ASH1L,PHF3,KMT2E,ZMYND11,PHF11,WHSC1,WHSC1L1,RSF1,PHF6,G2E3,PHF20,MLLT6,NSD1,BAZ2B,SP100,KDM2A,PHF2,CHD4,MTF2,KAT6A
PS01359	ZF_PHD_1	1.79649048580969e-07	-15.5322606193599	99	22	0.0278833967046895	789	12441	8284,51105,55870,23469,55904,10771,51131,7468,54904,51773,84295,55632,51230,4302,64324,29994,6672,22992,5253,1108,22823,7994	KDM5D,PHF20L1,ASH1L,PHF3,KMT2E,ZMYND11,PHF11,WHSC1,WHSC1L1,RSF1,PHF6,G2E3,PHF20,MLLT6,NSD1,BAZ2B,SP100,KDM2A,PHF2,CHD4,MTF2,KAT6A
PS50237	HECT	3.116211070242e-06	-12.6788926946882	27	10	0.0126742712294043	789	12441	9320,10075,83737,8925,79654,11059,55632,143279,4734,11060	TRIP12,HUWE1,ITCH,HERC1,HECTD3,WWP1,G2E3,HECTD2,NEDD4,WWP2
PS50102	RRM	3.51272135578782e-06	-12.5591195058487	231	34	0.0430925221799747	789	12441	84365,23112,55599,2130,10659,80315,57466,7072,9667,220988,5936,55696,91801,3191,23435,55285,4850,27332,4841,1975,6430,10181,10492,58517,9908,6294,60677,27336,23350,113251,64062,10891,10146,132864	NIFK,TNRC6B,RNPC3,EWSR1,CELF2,CPEB4,SCAF4,TIA1,SAFB2,HNRNPA3,RBM4,RBM22,ALKBH8,HNRNPL,TARDBP,RBM41,CNOT4,ZNF638,NONO,EIF4B,SRSF5,RBM5,SYNCRIP,RBM25,G3BP2,SAFB,CELF6,HTATSF1,U2SURP,LARP4,RBM26,PPARGC1A,G3BP1,CPEB2
PS50077	HEAT_REPEAT	6.98403997437391e-06	-11.8718830157357	71	16	0.0202788339670469	789	12441	83876,23451,5591,54919,8672,25938,23244,23116,25836,63897,9731,7514,23198,23332,3837,1315	MRO,SF3B1,PRKDC,HEATR2,EIF4G3,HEATR5A,PDS5A,FAM179B,NIPBL,HEATR6,CEP104,XPO1,PSME4,CLASP1,KPNB1,COPB1
PS50020	WW_DOMAIN_2	5.03360765275419e-05	-9.89678851075537	50	12	0.0152091254752852	789	12441	1756,51741,83737,8826,25937,11059,9863,10915,260425,4734,11060,55660	DMD,WWOX,ITCH,IQGAP1,WWTR1,WWP1,MAGI2,TCERG1,MAGI3,NEDD4,WWP2,PRPF40A
PS01159	WW_DOMAIN_1	6.20761181551169e-05	-9.68714921376221	51	12	0.0152091254752852	789	12441	1756,51741,8826,83737,25937,11059,9863,10915,260425,4734,55660,11060	DMD,WWOX,IQGAP1,ITCH,WWTR1,WWP1,MAGI2,TCERG1,MAGI3,NEDD4,PRPF40A,WWP2
PS50812	PWWP	7.46053772284772e-05	-9.50329797254157	24	8	0.0101394169835234	789	12441	114825,64324,1788,3068,10771,84656,7468,54904	PWWP2A,NSD1,DNMT3A,HDGF,ZMYND11,GLYR1,WHSC1,WHSC1L1
PS51215	AWS	7.62528887356625e-05	-9.4814552581365	5	4	0.00506970849176172	789	12441	7468,54904,64324,55870	WHSC1,WHSC1L1,NSD1,ASH1L
PS50821	PAZ	0.000102987767876839	-9.18090033526427	9	5	0.00633713561470215	789	12441	192670,26523,192669,23405,27161	AGO4,AGO1,AGO3,DICER1,AGO2
PS50021	CH	0.000195797435527691	-8.53842992536073	74	14	0.017743979721166	789	12441	10634,1756,9459,8874,6711,8826,23224,23384,92521,87,23271,23499,23301,23143	GAS2L1,DMD,ARHGEF6,ARHGEF7,SPTBN1,IQGAP1,SYNE2,SPECC1L,SPECC1,ACTN1,CAMSAP2,MACF1,EHBP1,LRCH1
PS50934	SWIRM	0.000217232444870573	-8.4345426032031	6	4	0.00506970849176172	789	12441	6599,6601,114803,6871	SMARCC1,SMARCC2,MYSM1,TADA2A
PS50802	OTU	0.00043120114422402	-7.74893588479226	17	6	0.00760456273764259	789	12441	80124,54726,54764,56957,79868,90268	VCPIP1,OTUD4,ZRANB1,OTUD7B,ALG13,FAM105B
PS50033	UBX	0.000849318921943387	-7.07107579796884	13	5	0.00633713561470215	789	12441	26043,165324,23190,23197,55968	UBXN7,UBXN2A,UBXN4,FAF2,NSFL1C
PS50822	PIWI	0.000914485901279526	-6.99714850711439	8	4	0.00506970849176172	789	12441	192670,26523,192669,27161	AGO4,AGO1,AGO3,AGO2
