TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
REACT_118560	Small Interfering RNA (siRNA) Biogenesis	1.34680672318067e-05	-11.2151890647113	7	5	0.0117924528301887	424	7167	192670,26523,23405,192669,27161	AGO4,AGO1,DICER1,AGO3,AGO2
REACT_118699	Post-transcriptional Silencing By Small RNAs	1.34680672318067e-05	-11.2151890647113	7	5	0.0117924528301887	424	7167	192670,23112,26523,192669,27161	AGO4,TNRC6B,AGO1,AGO3,AGO2
REACT_71	Gene Expression	1.61794668060246e-05	-11.0317676007691	1201	104	0.245283018867925	424	7167	6910,7559,2071,23451,7067,6256,163051,54925,1432,57336,6095,220988,6745,10914,7587,7586,23198,58491,3191,1108,8665,5494,3192,1983,23471,284370,388536,80205,7678,6734,7748,142,6230,147657,4116,4774,11218,192670,4784,1981,121274,7514,4087,11051,25937,8243,256051,8648,54464,6619,6146,285349,8338,4089,5711,7182,124411,23112,7019,51362,163087,26523,27161,1660,4092,9887,5073,129401,4927,57209,1938,9014,2963,2965,8125,4850,5469,57459,10780,2967,10352,1975,79718,55814,79862,388566,7581,6430,2100,80222,9261,10181,7175,5976,22835,23405,8570,367,23636,60559,163049,9818,192669,158431	TBX5,ZNF12,ERCC3,SF3B1,THRA,RXRA,ZNF709,ZSCAN32,MAPK14,ZNF287,RORA,HNRNPA3,SSR1,PAPOLA,ZNF37A,ZKSCAN1,PSME4,ZNF71,HNRNPL,CHD4,EIF3F,PPM1A,HNRNPU,EIF5,TRAM1,ZNF615,ZNF790,CHD9,ZNF124,SRPR,ZNF195,PARP1,RPS25,ZNF480,MAGOH,NFIA,DDX20,AGO4,NFIX,EIF4G1,ZNF641,XPO1,SMAD2,NUDT21,WWTR1,SMC1A,ZNF549,NCOA1,XRN1,SNAPC3,RPL22,ZNF660,HIST2H2AC,SMAD4,PSMD5,NR2C2,ZNF720,TNRC6B,TFAM,CDC40,ZNF383,AGO1,AGO2,DHX9,SMAD7,SMG7,PARN,NUP35,NUP88,ZNF248,EEF2,TAF1B,GTF2F2,GTF2H1,ANP32A,CNOT4,MED1,GATAD2B,ZNF234,GTF2H3,WARS2,EIF4B,TBL1XR1,BDP1,ZNF669,ZNF470,ZNF33A,SRSF5,ESR2,TARS2,MAPKAPK2,RBM5,TPR,UPF1,ZFP30,DICER1,KHSRP,AR,NUP62,SPCS3,ZNF791,NUPL1,AGO3,ZNF782
REACT_172761	Ca2+ pathway	1.62293148891393e-05	-11.0286913899511	64	14	0.0330188679245283	424	7167	23112,55970,1499,8322,116143,26523,59345,27161,192670,3709,6885,23236,6934,192669	TNRC6B,GNG12,CTNNB1,FZD4,WDR92,AGO1,GNB4,AGO2,AGO4,ITPR2,MAP3K7,PLCB1,TCF7L2,AGO3
REACT_23832	Nephrin interactions	3.12978227900244e-05	-10.3719620222617	23	8	0.0188679245283019	424	7167	8573,23607,8826,6711,5295,87,9863,55243	CASK,CD2AP,IQGAP1,SPTBN1,PIK3R1,ACTN1,MAGI2,KIRREL
REACT_115831	ISG15 antiviral mechanism	6.5552135702653e-05	-9.63266476700915	72	14	0.0330188679245283	424	7167	23586,7175,1981,4927,3840,3839,6772,8672,23636,9818,4734,129401,25820,3837	DDX58,TPR,EIF4G1,NUP88,KPNA4,KPNA3,STAT1,EIF4G3,NUP62,NUPL1,NEDD4,NUP35,ARIH1,KPNB1
REACT_115676	Antiviral mechanism by IFN-stimulated genes	6.5552135702653e-05	-9.63266476700915	72	14	0.0330188679245283	424	7167	23586,7175,1981,4927,3840,3839,6772,8672,23636,9818,4734,129401,25820,3837	DDX58,TPR,EIF4G1,NUP88,KPNA4,KPNA3,STAT1,EIF4G3,NUP62,NUPL1,NEDD4,NUP35,ARIH1,KPNB1
REACT_152	Cell Cycle, Mitotic	0.000118848415633082	-9.03766169505818	484	49	0.115566037735849	424	7167	114799,4175,4149,80321,1063,10926,5862,7531,55142,129401,9702,25836,5925,4927,80184,23198,894,1021,23332,10051,1639,57551,10735,121441,10592,7532,23244,7175,5529,6249,5108,8881,7514,5985,996,2801,5000,25936,5525,23063,5001,8481,8243,5527,23636,8338,7443,9818,5711	ESCO1,MCM6,MAX,CEP70,CENPF,DBF4,RAB2A,YWHAE,HAUS2,NUP35,CEP57,NIPBL,RB1,NUP88,CEP290,PSME4,CCND2,CDK6,CLASP1,SMC4,DCTN1,TAOK1,STAG2,NEDD1,SMC2,YWHAG,PDS5A,TPR,PPP2R5E,CLIP1,PCM1,CDC16,XPO1,RFC5,CDC27,GOLGA2,ORC4,NSL1,PPP2R5A,WAPAL,ORC5,OFD1,SMC1A,PPP2R5C,NUP62,HIST2H2AC,VRK1,NUPL1,PSMD5
REACT_11061	Signalling by NGF	0.000132844122990817	-8.92633412466835	284	33	0.0778301886792453	424	7167	5599,23112,1173,26523,8874,27161,7204,3709,7531,1432,5156,5154,5906,11108,5781,253260,6655,2247,5295,192670,11214,5605,5898,9261,57498,9459,10000,2932,4254,2252,4915,5576,192669	MAPK8,TNRC6B,AP2M1,AGO1,ARHGEF7,AGO2,TRIO,ITPR2,YWHAE,MAPK14,PDGFRA,PDGFA,RAP1A,PRDM4,PTPN11,RICTOR,SOS2,FGF2,PIK3R1,AGO4,AKAP13,MAP2K2,RALA,MAPKAPK2,KIDINS220,ARHGEF6,AKT3,GSK3B,KITLG,FGF7,NTRK2,PRKAR2A,AGO3
REACT_150421	Cohesin Loading onto Chromatin	0.000139200229881471	-8.87959715861797	10	5	0.0117924528301887	424	7167	25836,23063,8243,10735,23244	NIPBL,WAPAL,SMC1A,STAG2,PDS5A
