TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SMP00320	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	4.44796710004934e-05	-10.0204783046209	38	9	0.183673469387755	49	995	2778,5599,55970,5906,9693,8874,10411,1386,5605	GNAS,MAPK8,GNG12,RAP1A,RAPGEF2,ARHGEF7,RAPGEF3,ATF2,MAP2K2
SMP00321	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	4.44796710004934e-05	-10.0204783046209	38	9	0.183673469387755	49	995	2778,5599,55970,5906,9693,8874,10411,1386,5605	GNAS,MAPK8,GNG12,RAP1A,RAPGEF2,ARHGEF7,RAPGEF3,ATF2,MAP2K2
SMP00390	Tay-Sachs Disease	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00045	Amino Sugar Metabolism	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00240	Salla Disease/Infantile Sialic Acid Storage Disease	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00534	G(M2)-Gangliosidosis: Variant B- Tay-sachs disease	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00216	Sialuria or French Type Sialuria	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00217	Sjogren Larsson Syndrome	0.000683915980337016	-7.28767548365125	16	5	0.102040816326531	49	995	3098,64841,10007,10020,5238	HK1,GNPNAT1,GNPDA1,GNE,PGM3
SMP00420	Bevacizumab Pathway	0.00690914681488134	-4.97490911989935	3	2	0.0408163265306122	49	995	7422,2321	VEGFA,FLT1
SMP00582	Joubert syndrome	0.0167239801294344	-4.09091165363523	21	4	0.0816326530612245	49	995	200576,23236,5295,8821	PIKFYVE,PLCB1,PIK3R1,INPP4B
SMP00463	Phosphatidylinositol Phosphate Metabolism	0.0167239801294344	-4.09091165363523	21	4	0.0816326530612245	49	995	200576,23236,5295,8821	PIKFYVE,PLCB1,PIK3R1,INPP4B
SMP00322	Vasopressin Regulation of Water Homeostasis	0.0313982319434659	-3.46100369518619	6	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00343	Intracellular Signalling Through PGD2 receptor and Prostaglandin D2	0.0313982319434659	-3.46100369518619	6	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00308	Dopamine Activation of Neurological Reward System	0.0313982319434659	-3.46100369518619	6	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00310	Corticotropin Activation of Cortisol Production	0.0425892752424925	-3.15615281227346	7	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00123	Betaine Metabolism	0.0425892752424925	-3.15615281227346	7	2	0.0408163265306122	49	995	191,4548	AHCY,MTR
SMP00335	Intracellular Signalling Through Histamine H2 Receptor and Histamine	0.0550243970729997	-2.89997860895814	8	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00354	Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin	0.0550243970729997	-2.89997860895814	8	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00309	Excitatory Neural Signalling Through 5-HTR 4 and Serotonin	0.0550243970729997	-2.89997860895814	8	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00311	Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	0.0550243970729997	-2.89997860895814	8	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00221	Methionine Adenosyltransferase Deficiency	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00177	Cystathionine Beta-Synthase Deficiency	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00341	Hypermethioninemia	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00033	Methionine Metabolism	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00222	Glycine N-methyltransferase Deficiency	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism- cblG complementation type	0.0623720225379954	-2.7746384609116	19	3	0.0612244897959184	49	995	191,4548,4507	AHCY,MTR,MTAP
SMP00312	Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	0.0685592235551586	-2.68005732979819	9	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00333	Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone	0.0830600879823069	-2.48819098151803	10	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00338	Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin	0.0830600879823069	-2.48819098151803	10	2	0.0408163265306122	49	995	2778,55970	GNAS,GNG12
SMP00358	Fc Epsilon Receptor I Signaling in Mast Cells	0.137723393958477	-1.98250799691134	41	4	0.0816326530612245	49	995	5599,1432,5605,5295	MAPK8,MAPK14,MAP2K2,PIK3R1
SMP00124	Glycerol Phosphate Shuttle	0.14071698862793	-1.96100457852648	3	1	0.0204081632653061	49	995	2820	GPD2
SMP00522	3-hydroxyisobutyric aciduria	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00524	Isovaleric acidemia	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00523	Isobutyryl-coa dehydrogenase deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00238	Isovaleric Aciduria	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00199	Maple Syrup Urine Disease	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00236	Propionic Acidemia	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00200	Methylmalonic Aciduria	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00140	3-Methylglutaconic Aciduria Type III	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00139	3-Methylglutaconic Aciduria Type I	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00032	Valine- Leucine and Isoleucine Degradation	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00173	Beta-Ketothiolase Deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00141	3-Methylglutaconic Aciduria Type IV	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	0.179858047938543	-1.71558736178193	30	3	0.0612244897959184	49	995	34,1629,3712	ACADM,DBT,IVD
SMP00450	Phytanic Acid Peroxisomal Oxidation	0.183161411569375	-1.69738748446723	4	1	0.0204081632653061	49	995	224	ALDH3A2
SMP00433	Irinotecan Pathway	0.183161411569375	-1.69738748446723	4	1	0.0204081632653061	49	995	7150	TOP1
SMP00600	Irinotecan Pathway	0.183161411569375	-1.69738748446723	4	1	0.0204081632653061	49	995	7150	TOP1
SMP00451	Refsum Disease	0.183161411569375	-1.69738748446723	4	1	0.0204081632653061	49	995	224	ALDH3A2
SMP00561	Fructosuria	0.220840263220752	-1.51031562965996	18	2	0.0408163265306122	49	995	3098,6652	HK1,SORD
SMP00064	Fructose and Mannose Degradation	0.220840263220752	-1.51031562965996	18	2	0.0408163265306122	49	995	3098,6652	HK1,SORD
SMP00468	Degradation of Superoxides	0.22354999969569	-1.49812017766341	5	1	0.0204081632653061	49	995	847	CAT
SMP00021	Taurine and Hypotaurine Metabolism	0.22354999969569	-1.49812017766341	5	1	0.0204081632653061	49	995	84890	ADO
SMP00479	Plasmalogen Synthesis	0.22354999969569	-1.49812017766341	5	1	0.0204081632653061	49	995	8540	AGPS
SMP00063	Tryptophan Metabolism	0.239483585653864	-1.42927040037187	19	2	0.0408163265306122	49	995	847,10352	CAT,WARS2
SMP00650	Doxorubicin Pathway	0.295736049922801	-1.21828794571354	22	2	0.0408163265306122	49	995	847,873	CAT,CBR1
SMP00449	Ethanol Degradation	0.298545532914062	-1.2088328187068	7	1	0.0204081632653061	49	995	847	CAT
SMP00525	Fabry disease	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00526	Krabbe disease	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00349	Gaucher Disease	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00034	Sphingolipid Metabolism	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00347	Metachromatic Leukodystrophy (MLD)	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00348	Globoid Cell Leukodystrophy	0.314434330269256	-1.15698003141983	23	2	0.0408163265306122	49	995	55331,259230	ACER3,SGMS1
SMP00487	Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	873	CBR1
SMP00496	Galactosemia III	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	80146	UXS1
SMP00005	Pterine Biosynthesis	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	873	CBR1
SMP00488	Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps)	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	873	CBR1
SMP00495	Galactosemia II (GALK)	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	80146	UXS1
SMP00010	Nucleotide Sugars Metabolism	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	80146	UXS1
SMP00481	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	0.333334266606056	-1.09860948885386	8	1	0.0204081632653061	49	995	34	ACADM
