TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP366	TGF-beta Receptor Signaling Pathway	1.69705832562906e-06	-13.2866142024566	154	27	0.0912162162162162	296	4508	5599,5295,4092,2113,7048,1432,9372,5925,7514,8881,4087,8723,1499,996,7322,6935,367,8648,6093,6885,1386,4089,1021,5576,3837,56288,9839	MAPK8,PIK3R1,SMAD7,ETS1,TGFBR2,MAPK14,ZFYVE9,RB1,XPO1,CDC16,SMAD2,SNX4,CTNNB1,CDC27,UBE2D2,ZEB1,AR,NCOA1,ROCK1,MAP3K7,ATF2,SMAD4,CDK6,PRKAR2A,KPNB1,PARD3,ZEB2
WP2038	Regulation of Microtubule Cytoskeleton	8.8074093498355e-05	-9.33733212617308	44	11	0.0371621621621622	296	4508	9261,6249,4139,1808,5786,57551,7204,2932,2776,6093,23332	MAPKAPK2,CLIP1,MARK1,DPYSL2,PTPRA,TAOK1,TRIO,GSK3B,GNAQ,ROCK1,CLASP1
WP364	IL-6 Signaling Pathway	0.00019714981898748	-8.53154661578724	99	17	0.0574324324324324	296	4508	5599,5295,1432,5605,9261,5925,5529,5525,3572,6772,5781,367,2932,5527,6198,8648,6885	MAPK8,PIK3R1,MAPK14,MAP2K2,MAPKAPK2,RB1,PPP2R5E,PPP2R5A,IL6ST,STAT1,PTPN11,AR,GSK3B,PPP2R5C,RPS6KB1,NCOA1,MAP3K7
WP411	mRNA processing	0.000478645586575192	-7.64455013718229	136	20	0.0675675675675676	296	4508	10659,51362,4841,6433,23451,1660,3276,11218,6430,3275,10914,10181,11051,23405,8243,57396,22803,3191,3192,55660	CELF2,CDC40,NONO,SFSWAP,SF3B1,DHX9,PRMT1,DDX20,SRSF5,PRMT2,PAPOLA,RBM5,NUDT21,DICER1,SMC1A,CLK4,XRN2,HNRNPL,HNRNPU,PRPF40A
WP1539	Angiogenesis	0.000481145790192423	-7.63934023567032	23	7	0.0236486486486486	296	4508	7010,7078,7422,2247,5156,284,2321	TEK,TIMP3,VEGFA,FGF2,PDGFRA,ANGPT1,FLT1
WP2263	Prostate Cancer	0.000638665923364307	-7.35612905193685	109	17	0.0574324324324324	296	4508	5599,2078,5591,6601,1432,5605,5925,4087,5906,6599,10111,6772,5781,367,4361,253260,596	MAPK8,ERG,PRKDC,SMARCC2,MAPK14,MAP2K2,RB1,SMAD2,RAP1A,SMARCC1,RAD50,STAT1,PTPN11,AR,MRE11A,RICTOR,BCL2
WP1541	Energy Metabolism	0.00089259188957212	-7.02138109210646	48	10	0.0337837837837838	296	4508	7019,5565,6256,3276,2932,8648,10891,1386,5469,1432	TFAM,PRKAB2,RXRA,PRMT1,GSK3B,NCOA1,PPARGC1A,ATF2,MED1,MAPK14
WP53	Id Signaling Pathway	0.00170824508003182	-6.3722887044294	52	10	0.0337837837837838	296	4508	6938,5925,3480,1499,2321,4090,7422,4089,3428,6934	TCF12,RB1,IGF1R,CTNNB1,FLT1,SMAD5,VEGFA,SMAD4,IFI16,TCF7L2
WP1984	Integrated Breast Cancer Pathway	0.00232320597048989	-6.06480716339483	154	20	0.0675675675675676	296	4508	2241,4149,4763,4092,7422,7048,5898,7175,5925,4087,5906,1499,28996,10111,6772,253959,367,4361,596,4089	FER,MAX,NF1,SMAD7,VEGFA,TGFBR2,RALA,TPR,RB1,SMAD2,RAP1A,CTNNB1,HIPK2,RAD50,STAT1,RALGAPA1,AR,MRE11A,BCL2,SMAD4
WP2032	TSH signaling pathway	0.00262370607702928	-5.94316742750151	64	11	0.0371621621621622	296	4508	2778,5925,5906,3480,5295,6772,2776,6198,2771,23236,1432	GNAS,RB1,RAP1A,IGF1R,PIK3R1,STAT1,GNAQ,RPS6KB1,GNAI2,PLCB1,MAPK14
WP314	FAS pathway and Stress induction of HSP regulation	0.00271140015896614	-5.91029011369018	38	8	0.027027027027027	296	4508	9261,5599,5925,142,5591,596,6885,8837	MAPKAPK2,MAPK8,RB1,PARP1,PRKDC,BCL2,MAP3K7,CFLAR
WP474	Endochondral Ossification	0.00337002416346636	-5.69283536447551	66	11	0.0371621621621622	296	4508	7078,3480,2247,7067,2690,6772,4921,51719,9510,7422,6660	TIMP3,IGF1R,FGF2,THRA,GHR,STAT1,DDR2,CAB39,ADAMTS1,VEGFA,SOX5
WP23	B Cell Receptor Signaling Pathway	0.00339784516379005	-5.68461382363639	159	20	0.0675675675675676	296	4508	5599,6655,5295,10093,3709,1432,5605,9261,5925,1499,6772,5781,2932,596,6198,10097,894,6885,1386,1021	MAPK8,SOS2,PIK3R1,ARPC4,ITPR2,MAPK14,MAP2K2,MAPKAPK2,RB1,CTNNB1,STAT1,PTPN11,GSK3B,BCL2,RPS6KB1,ACTR2,CCND2,MAP3K7,ATF2,CDK6
WP231	TNF-alpha/NF-kB Signaling Pathway	0.00424169929623983	-5.46279131261303	196	23	0.0777027027027027	296	4508	9530,8738,10238,4528,57805,6601,7531,7532,10914,8837,10746,1654,6599,3839,9908,10010,10270,7322,5781,6772,2932,6198,7182	BAG4,CRADD,DCAF7,MTIF2,CCAR2,SMARCC2,YWHAE,YWHAG,PAPOLA,CFLAR,MAP3K2,DDX3X,SMARCC1,KPNA3,G3BP2,TANK,AKAP8,UBE2D2,PTPN11,STAT1,GSK3B,RPS6KB1,NR2C2
WP710	DNA damage response (only ATM dependent)	0.005942526567705	-5.12562088794396	91	13	0.0439189189189189	296	4508	5599,847,5529,6655,3643,1499,10000,5527,2932,596,6885,894,4089	MAPK8,CAT,PPP2R5E,SOS2,INSR,CTNNB1,AKT3,PPP2R5C,GSK3B,BCL2,MAP3K7,CCND2,SMAD4
WP179	Cell cycle	0.00628514311250667	-5.06956666671283	102	14	0.0472972972972973	296	4508	5925,4175,5000,5591,5001,10926,8243,4254,2932,7531,894,4089,1021,7532	RB1,MCM6,ORC4,PRKDC,ORC5,DBF4,SMC1A,KITLG,GSK3B,YWHAE,CCND2,SMAD4,CDK6,YWHAG
WP560	TGF Beta Signaling Pathway	0.00875338012392017	-4.73831535333061	55	9	0.0304054054054054	296	4508	4087,1499,6772,4092,4090,7048,4089,9372,9839	SMAD2,CTNNB1,STAT1,SMAD7,SMAD5,TGFBR2,SMAD4,ZFYVE9,ZEB2
WP2037	Prolactin Signaling Pathway	0.00907618000039386	-4.70210187969247	75	11	0.0371621621621622	296	4508	5599,5295,5781,6772,3688,2932,6198,1432,4752,5605,7532	MAPK8,PIK3R1,PTPN11,STAT1,ITGB1,GSK3B,RPS6KB1,MAPK14,NEK3,MAP2K2,YWHAG
WP500	Glycogen Metabolism	0.00914201349753891	-4.69487462264194	37	7	0.0236486486486486	296	4508	2932,5527,5529,5525,178,5834,5257	GSK3B,PPP2R5C,PPP2R5E,PPP2R5A,AGL,PYGB,PHKB
WP2446	RB in Cancer	0.010642897655088	-4.54286249614085	87	12	0.0405405405405405	296	4508	5925,6595,4175,5985,8030,5591,8243,6596,10592,3275,4863,1021	RB1,SMARCA2,MCM6,RFC5,CCDC6,PRKDC,SMC1A,HLTF,SMC2,PRMT2,NPAT,CDK6
WP2377	Integrated Pancreatic Cancer Pathway	0.0150456123803045	-4.19666886648458	194	21	0.0709459459459459	296	4508	5599,2247,6256,2100,7422,1432,5156,5154,3554,4087,5906,1499,10111,6772,367,4361,51719,596,10411,4089,7150	MAPK8,FGF2,RXRA,ESR2,VEGFA,MAPK14,PDGFRA,PDGFA,IL1R1,SMAD2,RAP1A,CTNNB1,RAD50,STAT1,AR,MRE11A,CAB39,BCL2,RAPGEF3,SMAD4,TOP1
WP51	Regulation of Actin Cytoskeleton	0.0151015415696749	-4.19295844966521	147	17	0.0574324324324324	296	4508	6655,55970,2258,54434,2247,8874,8826,5295,87,55740,5156,5605,5154,9459,2252,6093,7414	SOS2,GNG12,FGF13,SSH1,FGF2,ARHGEF7,IQGAP1,PIK3R1,ACTN1,ENAH,PDGFRA,MAP2K2,PDGFA,ARHGEF6,FGF7,ROCK1,VCL
WP2034	Leptin signaling pathway	0.0152729480596937	-4.18167211619227	60	9	0.0304054054054054	296	4508	5599,3840,5295,5781,6772,6198,8648,1432,5605	MAPK8,KPNA4,PIK3R1,PTPN11,STAT1,RPS6KB1,NCOA1,MAPK14,MAP2K2
WP49	IL-2 Signaling pathway	0.0181009797768141	-4.01178921085971	42	7	0.0236486486486486	296	4508	6198,596,894,5605,5295,5781,6772	RPS6KB1,BCL2,CCND2,MAP2K2,PIK3R1,PTPN11,STAT1
WP2374	Oncostatin M Signaling Pathway	0.0205952130349193	-3.88269660713597	63	9	0.0304054054054054	296	4508	5599,7078,3572,5295,5781,6772,253260,1432,5605	MAPK8,TIMP3,IL6ST,PIK3R1,PTPN11,STAT1,RICTOR,MAPK14,MAP2K2
WP400	p38 MAPK Signaling Pathway	0.0214917981467573	-3.84008389817729	34	6	0.0202702702702703	296	4508	9261,4149,6885,1432,1386,6772	MAPKAPK2,MAX,MAP3K7,MAPK14,ATF2,STAT1
WP615	Senescence and Autophagy	0.0218912273039497	-3.8216693021415	107	13	0.0439189189189189	296	4508	3920,5925,7405,3480,3572,3488,2932,596,1432,4089,3428,51100,3490	LAMP2,RB1,UVRAG,IGF1R,IL6ST,IGFBP5,GSK3B,BCL2,MAPK14,SMAD4,IFI16,SH3GLB1,IGFBP7
WP395	IL-4 signaling Pathway	0.0226349496956632	-3.7882601205105	64	9	0.0304054054054054	296	4508	23683,5295,5781,6772,3597,6198,1432,1386,2113	PRKD3,PIK3R1,PTPN11,STAT1,IL13RA1,RPS6KB1,MAPK14,ATF2,ETS1
WP205	IL-7 Signaling Pathway	0.0229956426373955	-3.77245053154903	44	7	0.0236486486486486	296	4508	2932,5925,4170,894,5605,5295,6772	GSK3B,RB1,MCL1,CCND2,MAP2K2,PIK3R1,STAT1
WP2253	pilocytic astrocytoma	0.0235979739607292	-3.74659441975746	4	2	0.00675675675675676	296	4508	4763,5781	NF1,PTPN11
WP1971	Integrated Cancer pathway	0.024555779690209	-3.70680802718669	35	6	0.0202702702702703	296	4508	4361,596,5925,4087,10111,6772	MRE11A,BCL2,RB1,SMAD2,RAD50,STAT1
WP138	Androgen receptor signaling pathway	0.027856527564078	-3.58068795716099	88	11	0.0371621621621622	296	4508	5925,1499,5295,2932,367,166,6093,8648,4089,388,7182	RB1,CTNNB1,PIK3R1,GSK3B,AR,AES,ROCK1,NCOA1,SMAD4,RHOB,NR2C2
