ProbeID	PrimaryAccession
A_23_P253586	NM_005128
A_23_P217507	NM_004729
A_24_P538590	AK092032
A_24_P569294	NM_021107
A_23_P259451	NM_007080
A_32_P219520	NM_014350
A_32_P38619	THC2760960
A_24_P153234	A_24_P153234
A_23_P76006	NM_001235
A_23_P381332	NM_144684
A_23_P83498	NM_006546
A_32_P81149	NM_003973
A_23_P413224	NM_004828
A_23_P253597	NM_030891
A_24_P53985	NM_024772
A_23_P6321	NM_003277
A_24_P390793	NM_001416
A_24_P640261	A_24_P640261
A_23_P146885	NM_018949
A_24_P170365	ENST00000388915
A_23_P76059	ENST00000354743
A_24_P251040	NM_057091
A_23_P15511	NM_004396
A_23_P15516	NM_032376
A_24_P349750	ENST00000324414
A_24_P118527	BX648927
A_24_P925818	A_24_P925818
A_24_P349756	A_24_P349756
A_24_P586072	AL050153
A_32_P121944	AA609065
A_32_P24531	BC014023
A_24_P170357	A_24_P170357
A_32_P223173	THC2650095
A_32_P175042	THC2542065
A_23_P360240	NM_138768
A_32_P112546	XR_018597
A_23_P360245	NM_145266
A_24_P213590	AK090400
A_32_P147500	A_32_P147500
A_24_P118512	XR_016757
A_24_P213594	AK091409
A_24_P349743	NM_001005472
A_32_P139391	BI759100
A_23_P202939	NM_001642
A_23_P6307	NM_006758
A_23_P6303	NM_006758
A_24_P188800	NM_017923
A_32_P93668	BQ009471
A_23_P88988	THC2666227
A_24_P762613	AK021543
A_23_P52727	NM_182964
A_32_P30489	BX118699
A_24_P230486	A_24_P230486
A_32_P50	BM678897
A_23_P360268	AK055382
A_23_P259490	NM_006454
A_24_P188878	NM_033625
A_24_P118531	BP290435
A_23_P15542	NM_000413
A_24_P339869	NM_020727
A_24_P925808	A_24_P925808
A_23_P202918	NM_153767
A_24_P776784	CN304251
A_23_P381378	NM_014296
A_23_P46781	NM_003638
A_24_P839075	A_24_P839075
A_23_P372151	NM_021231
A_24_P194313	NM_016631
A_32_P121978	A_32_P121978
A_32_P105195	NM_014829
A_23_P147805	BC047030
A_32_P112531	THC2644853
A_24_P263786	BC022362
A_24_P118560	AK097411
