Probe Set ID	UniGene ID.1
AFFX-MurIL10_at	Mm.874.1
AFFX-MurIL4_at	Mm.276360.1
AFFX-MurFAS_at	Mm.1626.1
31555_at	Hs.99992.1
39182_at	Hs.9999.1
31553_at	Hs.99971.1
41634_at	Hs.9997.1
32451_at	Hs.99960.1
41094_at	Hs.99949.1
38610_s_at	Hs.99936.1
31551_at	Hs.99927.1
35042_at	Hs.99922.1
31549_at	Hs.99900.1
38367_s_at	Hs.99886.1
31548_at	Hs.99884.1
37096_at	Hs.99863.1
37095_r_at	Hs.99855.1
39172_at	Hs.99821.1
37093_at	Hs.997.1
33371_s_at	Hs.99528.1
33372_at	Hs.99528.1
38359_at	Hs.99491.1
38360_at	Hs.99491.1
38361_g_at	Hs.99491.1
41087_at	Hs.99348.1
912_s_at	Hs.992.1
33299_at	Hs.99195.1
35041_at	Hs.99171.1
35669_at	Hs.99141.1
38356_at	Hs.9914.1
38355_at	Hs.99120.1
41083_at	Hs.99093.1
41084_at	Hs.99093.1
32593_at	Hs.98910.1
37089_at	Hs.98848.1
37090_at	Hs.98848.1
37091_g_at	Hs.98848.1
33888_at	Hs.98791.1
31879_at	Hs.98751.1
39163_at	Hs.9873.1
31696_at	Hs.98643.1
34180_at	Hs.98594.1
31339_at	Hs.98558.1
160033_s_at	Hs.98493.1
160042_s_at	Hs.98428.1
41075_at	Hs.98397.1
37088_at	Hs.98338.1
41072_at	Hs.98303.1
39572_at	Hs.98262.1
40855_at	Hs.98259.1
212_at	Hs.98255.1
41071_at	Hs.98243.1
37943_at	Hs.98041.1
34048_at	Hs.98008.1
40556_at	Hs.97887.1
34924_at	Hs.97858.1
37103_at	Hs.97805.1
41066_at	Hs.97644.1
37087_at	Hs.97633.1
38346_at	Hs.97627.1
39159_at	Hs.97616.1
39158_at	Hs.9754.1
37084_at	Hs.97477.1
37085_g_at	Hs.97477.1
37086_at	Hs.97477.1
37081_at	Hs.97403.1
41065_at	Hs.9731.1
34042_at	Hs.97220.1
35036_at	Hs.97199.1
34039_at	Hs.97084.1
34040_s_at	Hs.97084.1
540_at	Hs.97013.1
541_g_at	Hs.97013.1
39154_at	Hs.9701.1
37334_at	Hs.96996.1
41059_at	Hs.9688.1
41057_at	Hs.9676.1
41058_g_at	Hs.9676.1
41055_at	Hs.96633.1
384_at	Hs.9661.1
41054_at	Hs.96485.1
41051_at	Hs.96247.1
143_s_at	Hs.96103.1
41050_at	Hs.96103.1
34037_at	Hs.960.1
41048_at	Hs.96.1
37077_at	Hs.95990.1
38327_at	Hs.95972.1
39302_at	Hs.95612.1
41043_at	Hs.95582.1
1942_s_at	Hs.95577.1
138_at	Hs.95424.1
39139_at	Hs.9534.1
38318_at	Hs.95260.1
38317_at	Hs.95243.1
34035_at	Hs.952.1
32077_s_at	Hs.95162.1
40527_at	Hs.95162.1
34034_at	Hs.95140.1
1645_at	Hs.95008.1
41040_at	Hs.94986.1
41037_at	Hs.94865.1
41035_at	Hs.94790.1
39133_at	Hs.94672.1
40005_at	Hs.94542.1
39121_at	Hs.94395.1
39119_s_at	Hs.943.1
38300_at	Hs.94234.1
32446_at	Hs.942.1
1260_s_at	Hs.94107.1
1261_i_at	Hs.94107.1
38781_at	Hs.94107.1
41031_at	Hs.94070.1
1022_f_at	Hs.93907.1
39115_at	Hs.9383.1
39114_at	Hs.93675.1
39113_at	Hs.93659.1
31328_at	Hs.936.1
38293_s_at	Hs.93574.1
36725_at	Hs.93485.1
38290_at	Hs.9347.1
40806_at	Hs.93338.1
37676_at	Hs.9333.1
41023_at	Hs.93210.1
1214_s_at	Hs.93177.1
1651_at	Hs.93002.1
1254_at	Hs.92858.1
1255_g_at	Hs.92858.1
33184_at	Hs.92858.1
37066_at	Hs.928.1
41017_at	Hs.927.1
879_at	Hs.926.1
38285_at	Hs.924.1
39089_at	Hs.9235.1
39088_at	Hs.9234.1
38284_at	Hs.92236.1
38281_at	Hs.9216.1
38278_at	Hs.920.1
1018_at	Hs.91985.1
1019_g_at	Hs.91985.1
38841_at	Hs.9194.1
41009_at	Hs.91791.1
38839_at	Hs.91747.1
38840_s_at	Hs.91747.1
38838_at	Hs.91728.1
41007_at	Hs.91626.1
38836_at	Hs.91622.1
38835_at	Hs.91586.1
38275_at	Hs.91579.1
38274_at	Hs.91566.1
38272_at	Hs.91448.1
41003_at	Hs.91161.1
38264_at	Hs.90875.1
34026_at	Hs.90866.1
34025_at	Hs.90791.1
38824_at	Hs.90753.1
40757_at	Hs.90708.1
40756_at	Hs.90691.1
38819_at	Hs.90572.1
38818_at	Hs.90458.1
38257_at	Hs.90443.1
38817_at	Hs.90436.1
38255_at	Hs.9043.1
38256_s_at	Hs.9043.1
38252_s_at	Hs.904.1
38253_at	Hs.904.1
38813_at	Hs.90303.1
40753_at	Hs.90297.1
38811_at	Hs.90280.1
36712_at	Hs.90250.1
38248_at	Hs.90232.1
38808_at	Hs.90107.1
1480_at	Hs.90093.1
38806_at	Hs.90093.1
38807_at	Hs.90093.1
38804_at	Hs.90073.1
38802_at	Hs.90061.1
33401_at	Hs.89983.1
40750_at	Hs.89901.1
666_at	Hs.89901.1
