ProbeID	TargetID
A_52_P485971	NM_001001144
A_51_P230025	NM_001001152
A_51_P230022	NM_001001152
A_52_P317820	NM_001001160
A_52_P397498	NM_001001160
A_52_P176634	NM_001001176
A_52_P592749	NM_001001176
A_51_P279284	NM_001001177
A_52_P173945	NM_001001179
A_52_P365970	NM_001001180
A_51_P107090	NM_001001181
A_52_P598774	NM_001001182
A_52_P544052	NM_001001182
A_52_P288251	NM_001001183
A_52_P378765	NM_001001184
A_52_P460929	NM_001001185
A_51_P289160	NM_001001185
A_52_P379297	NM_001001187
A_52_P65268	NM_001001297
A_52_P658911	NM_001001309
A_51_P309920	NM_001001309
A_51_P309917	NM_001001309
A_52_P117771	NM_001001318
A_52_P667302	NM_001001319
A_51_P194065	NM_001001320
A_52_P193194	NM_001001321
A_52_P193191	NM_001001321
A_52_P400831	NM_001001322
A_51_P167746	NM_001001326
A_51_P352594	NM_001001326
A_51_P384894	NM_001001332
A_52_P487686	NM_001001332
A_51_P132185	NM_001001332
A_52_P610808	NM_001001333
A_52_P631678	NM_001001334
A_52_P92991	NM_001001335
A_51_P486432	NM_001001444
A_51_P209782	NM_001001446
A_51_P485410	NM_001001447
A_51_P512119	NM_001001449
A_52_P597818	NM_001001449
A_52_P29043	NM_001001450
A_51_P494297	NM_001001488
A_51_P192329	NM_001001488
A_51_P472932	NM_001001488
A_52_P70882	NM_001001488
A_52_P472926	NM_001001489
A_52_P472923	NM_001001489
A_51_P225592	NM_001001491
A_51_P307062	NM_001001493
A_52_P245853	NM_001001493
A_51_P200544	NM_001001495
A_51_P434059	NM_001001496
A_52_P588580	NM_001001500
A_51_P153904	NM_001001566
A_52_P622471	NM_001001602
A_51_P366550	NM_001001735
A_52_P574710	NM_001001735
A_51_P231630	NM_001001792
A_52_P122255	NM_001001796
A_51_P215815	NM_001001798
A_51_P368883	NM_001001804
A_52_P261365	NM_001001805
A_51_P406265	NM_001001806
A_51_P287956	NM_001001807
A_52_P23366	NM_001001807
A_52_P109232	NM_001001808
A_51_P303784	NM_001001809
A_52_P136059	NM_001001810
A_51_P271395	NM_001001810
A_51_P271394	NM_001001810
A_51_P228295	NM_001001880
A_52_P94521	NM_001001881
A_52_P333691	NM_001001882
A_52_P418421	NM_001001884
A_51_P349281	NM_001001884
A_52_P323315	NM_001001885
A_52_P474242	NM_001001892
A_52_P50496	NM_001001892
A_51_P198434	NM_001001892
A_51_P224617	NM_001001932
A_52_P422767	NM_001001932
A_52_P376290	NM_001001932
A_51_P228086	NM_001001932
A_52_P534118	NM_001001932
A_51_P514070	NM_001001979
A_52_P229278	NM_001001980
A_52_P618173	NM_001001980
A_52_P456392	NM_001001980
A_51_P153693	NM_001001981
A_52_P454994	NM_001001983
A_51_P204366	NM_001001983
A_52_P92557	NM_001001984
A_52_P347176	NM_001001985
A_52_P476029	NM_001001986
A_51_P395344	NM_001001986
A_51_P151576	NM_001001999
A_52_P542794	NM_001002004
A_51_P244543	NM_001002004
A_52_P16209	NM_001002004
A_52_P16212	NM_001002004
A_52_P317923	NM_001002008
A_52_P109109	NM_001002239
A_52_P123268	NM_001002239
A_52_P48218	NM_001002241
A_51_P104012	NM_001002267
A_52_P551098	NM_001002268
A_52_P414645	NM_001002268
A_52_P628928	NM_001002764
A_52_P355276	NM_001002764
A_51_P320434	NM_001002764
A_52_P142883	NM_001002764
A_51_P493816	NM_001002786
A_51_P518893	NM_001002787
A_51_P277563	NM_001002791
A_51_P257169	NM_001002792
A_52_P15910	NM_001002842
A_52_P306831	NM_001002842
A_51_P371355	NM_001002894
A_51_P296158	NM_001002895
A_52_P530082	NM_001002896
A_51_P298802	NM_001002896
A_52_P430369	NM_001002897
A_52_P719962	NM_001002900
A_51_P102987	NM_001002927
A_52_P286166	NM_001002927
A_51_P201532	NM_001002929
A_52_P120655	NM_001003393
A_51_P276486	NM_001003405
A_52_P665240	NM_001003668
A_51_P475545	NM_001003685
A_52_P270490	NM_001003815
A_52_P524426	NM_001003815
A_51_P115018	NM_001003815
A_51_P216179	NM_001003817
A_52_P49250	NM_001003817
A_52_P569276	NM_001003893
A_52_P3835	NM_001003908
A_51_P311525	NM_001003908
A_52_P447011	NM_001003909
A_52_P155302	NM_001003909
A_52_P504330	NM_001003909
A_52_P253299	NM_001003910
A_52_P140953	NM_001003910
A_51_P487244	NM_001003911
A_52_P344036	NM_001003911
A_51_P345362	NM_001003912
A_52_P323525	NM_001003912
A_52_P44760	NM_001003913
A_51_P479902	NM_001003913
A_52_P349844	NM_001003914
A_51_P507346	NM_001003915
A_51_P276973	NM_001003916
A_52_P432904	NM_001003919
A_52_P191975	NM_001003930
A_52_P271725	NM_001003934
A_51_P494646	NM_001003934
A_51_P304417	NM_001003939
A_52_P766932	NM_001003946
A_52_P157	NM_001003946
A_52_P742248	NM_001003946
A_52_P967353	NM_001003946
A_52_P269158	NM_001003948
A_52_P594742	NM_001003949
A_52_P598259	NM_001003950
A_51_P451186	NM_001003950
A_52_P500112	NM_001003951
A_51_P404953	NM_001003953
A_51_P139597	NM_001003953
A_52_P24648	NM_001003953
A_52_P529360	NM_001003955
A_52_P221198	NM_001003955
A_51_P333850	NM_001003972
A_51_P136810	NM_001004025
A_51_P136814	NM_001004025
A_52_P677236	NM_001004061
A_51_P360435	NM_001004138
A_51_P481592	NM_001004140
A_52_P162099	NM_001004140
A_51_P423085	NM_001004141
A_52_P121800	NM_001004141
A_52_P253757	NM_001004142
