Probe Set ID	UniGene ID
1415670_at	Mm.258785
1415671_at	Mm.17708
1415672_at	Mm.196269
1415673_at	Mm.271784
1415674_a_at	Mm.29814
1415675_at	Mm.22001
1415676_a_at	Mm.8911
1415677_at	Mm.21623
1415678_at	Mm.261045
1415679_at	Mm.86557
1415680_at	Mm.277408
1415681_at	Mm.44174
1415682_at	Mm.152987
1415683_at	Mm.10265
1415684_at	Mm.22264
1415685_at	Mm.285429
1415686_at	Mm.198264
1415687_a_at	Mm.277498
1415688_at	Mm.458052
1415689_s_at	Mm.296071
1415690_at	Mm.440115
1415691_at	Mm.382
1415692_s_at	Mm.248827
1415693_at	Mm.289387
1415694_at	Mm.38433
1415695_at	Mm.121265
1415696_at	Mm.391794
1415697_at	Mm.290530
1415698_at	Mm.171335
1415699_a_at	Mm.30195
1415700_a_at	Mm.232728
1415701_x_at	Mm.140380
1415702_a_at	Mm.7286
1415703_at	Mm.27372
1415704_a_at	Mm.473703
1415705_at	Mm.22565
1415706_at	Mm.30041
1415707_at	Mm.291624
1415708_at	Mm.471608
1415709_s_at	Mm.271620
1415710_at	Mm.319697
1415711_at	Mm.229141
1415712_at	Mm.389984
1415713_a_at	Mm.3935
1415714_a_at	Mm.182650
1415715_at	Mm.332317
1415716_a_at	Mm.270283
1415717_at	Mm.318331
1415718_at	Mm.340083
1415719_s_at	Mm.472705
1415720_s_at	Mm.272024
1415721_a_at	Mm.133257
1415722_a_at	Mm.227983
1415723_at	Mm.271222
1415724_a_at	Mm.1022
1415725_at	Mm.288606
1415726_at	Mm.245522
1415727_at	Mm.205996
1415728_at	Mm.7723
1415729_at	Mm.10504
1415730_at	Mm.293980
1415731_at	Mm.289914
1415732_at	Mm.43745
1415733_a_at	Mm.282081
1415734_at	Mm.333233
1415735_at	Mm.289915
1415736_at	Mm.158264
1415737_at	Mm.7013
1415738_at	Mm.159965
1415739_at	Mm.401747
1415740_at	Mm.272361
1415741_at	Mm.790
1415742_at	Mm.386752
1415743_at	Mm.22665
1415744_at	Mm.2948
1415745_a_at	Mm.7472
1415746_at	Mm.28833
1415747_s_at	Mm.28551
1415748_a_at	Mm.458158
1415749_a_at	Mm.220922
1415750_at	Mm.100353
1415751_at	Mm.399941
1415752_at	Mm.29866
1415753_at	Mm.29802
1415754_at	Mm.279861
