Probe Set ID	Representative Public ID
100001_at	M18228
100002_at	X70393
100003_at	D38216
100004_at	AW120890
100005_at	X92346
100006_at	D21253
100007_at	AI837573
100009_r_at	X94127
100010_at	U36340
100011_at	AI851658
100012_at	U29539
100013_at	AW121732
100014_at	AI845038
100015_at	X67677
100016_at	Z12604
100017_at	U68267
100018_at	X71327
100019_at	D45889
100020_at	J04036
100021_at	M17640
100022_at	D89613
100023_at	X70472
100024_at	AI641895
100026_at	U42443
100027_s_at	AI881987
100028_r_at	AI881987
100029_at	AW208667
100030_at	D44464
100032_at	X60136
100033_at	X81143
100034_at	U54705
100035_at	L31932
100037_at	AW213225
100039_at	AW125880
100040_at	AI843081
100041_at	AW124133
100042_at	AI837921
100043_f_at	AI173973
100044_at	U19582
100046_at	J04627
100047_at	M22012
100048_at	AW049685
100049_at	J04179
100050_at	M31885
100051_at	U17297
100052_at	X91043
100054_s_at	AW123127
100056_at	X54352
100057_at	AI838320
100058_at	AW047776
100059_at	M31775
100060_i_at	M13500
100061_f_at	M13500
100062_at	X62154
100064_f_at	M63801
100065_r_at	M63801
100066_at	U20892
100067_at	D32250
100068_at	M74570
100069_at	M77497
100071_at	M16356
100072_at	AW046227
100073_at	AW045965
100074_at	AW046723
100078_at	M64248
100079_at	AI845556
100080_at	X01697
100081_at	U27830
100082_at	M57966
100084_at	X60671
100085_at	U30509
100086_at	D00622
100088_at	M27073
100089_at	M74227
100091_at	D87990
100093_at	X69025
100094_at	U88539
100095_at	U37799
100099_at	Z14132
100100_at	AA762212
100101_at	L15447
100103_f_at	AE000663
100104_r_at	AE000663
100106_at	D38410
100109_s_at	X03492
100112_at	L12030
100113_s_at	D50367
100115_at	AW124128
100116_at	AI122538
100117_at	AW122073
100120_at	L17324
100122_at	L34290
100123_f_at	X15202
100124_r_at	X15202
100125_at	U43918
100126_at	AA967263
100127_at	M35523
100128_at	M38724
100130_at	X12761
100131_at	X15830
100133_at	M27266
100134_at	X77952
100136_at	M32017
100138_f_at	X52102
100139_at	AI841733
100141_at	X65922
100142_at	X95480
100143_at	Y07711
100144_at	X07699
100147_at	X61147
100148_at	U51037
100149_at	D86726
100150_f_at	X04724
100151_at	L29441
100152_at	X15050
100153_at	X15052
100154_at	AI836367
100155_at	L57509
100156_at	D26090
100213_f_at	U93862
100225_f_at	AA409481
100272_at	Z29652
100277_at	X69619
100278_at	U09968
100279_at	X76989
100280_at	X72805
100281_at	AW060252
100282_at	Z23107
100283_at	AW125812
100284_at	D78174
100285_at	Z35166
100286_at	M74180
100287_at	AJ010637
100289_at	U92885
100290_f_at	AI197337
100291_at	X57111
100292_at	AI646422
100293_at	AA268823
100294_at	AB009377
100295_at	M34597
100296_at	X99253
100297_at	AA693125
100298_at	AF040960
100299_f_at	U55576
100300_at	U43384
100301_at	X89594
100302_at	AB009694
100303_at	AF016309
100304_at	AI449957
100305_g_at	AI449957
100306_at	AI510297
100307_at	AA002843
100308_at	X66976
100309_at	Y00671
100311_f_at	U72032
100313_at	AF041409
100314_f_at	AI838036
100315_at	U75321
100317_at	AF023458
100318_at	AI892206
100319_at	M37897
100320_at	AF020771
100321_f_at	AA407120
100322_at	U48716
100323_at	Z23077
100324_g_at	Z23077
100325_at	M65027
100326_f_at	U12889
100327_at	M17015
100328_s_at	U96684
100329_at	X00945
100330_at	AF032714
100331_g_at	AF032714
100332_s_at	AF093853
100333_at	M13521
100334_f_at	X58628
100335_at	U38477
100336_s_at	L24431
100337_at	L29346
100338_s_at	AF042066
100339_at	U95131
100340_at	U95132
100341_g_at	U95132
100342_i_at	M28729
100343_f_at	M28729
100344_at	AI464141
100345_f_at	W65964
100346_at	U33535
100347_at	AA154606
100348_at	AW214136
100349_at	C79615
100350_at	C80925
100351_f_at	U02997
100352_at	AA919208
100353_g_at	AA919208
100354_at	AF013282
100355_g_at	AF013282
100356_at	AW121051
100357_g_at	AW121051
100358_s_at	X58169
100359_at	M22602
100360_f_at	X02466
100361_f_at	M30207
100362_f_at	X02463
100363_at	AB026802
100364_at	AB026803
100365_at	AB026804
100366_at	AB019600
100367_g_at	AB019600
100368_at	AB019601
100369_at	AB035174
100370_at	AJ011033
100371_at	U65316
100372_at	X55272
100373_at	AJ243651
100374_at	AL133300
100375_i_at	AF025445
100376_f_at	AF025445
100377_f_at	L33952
100378_at	AI467488
100379_f_at	AI837905
100380_at	X91866
100381_at	M12347
100382_at	Y11274
100383_at	AB013097
100384_at	AB029349
100385_at	X75832
100386_at	AF056973
100387_f_at	AF028123
100388_at	L34216
100389_at	AF021231
100390_s_at	AB003147
100391_at	AB005663
100392_at	AB023494
100393_at	X74297
100394_at	AB028048
100395_at	X99104
100396_i_at	M30774
100397_at	AF024637
100398_at	D12645
100400_at	AW124329
100401_at	AA673981
100402_f_at	U17108
100403_at	AA839903
100404_at	L31959
100405_at	X56683
100406_at	U28217
100407_at	L38580
100408_at	AA839465
100409_at	X06340
100410_at	AW122781
100411_at	AF053943
100412_g_at	AF053943
100413_at	AB033168
100414_s_at	X15313
100415_at	X15378
100416_at	L76158
100417_at	AI643885
100418_at	AW123750
100420_at	J03458
100421_at	X03491
100422_i_at	AJ237939
100423_f_at	AJ237939
100424_at	X07414
100425_at	U25685
100426_s_at	U36776
100427_at	U37465
100428_at	U43327
100429_at	U89155
100430_at	Y10298
100431_at	U42467
100432_f_at	U57820
100433_r_at	U57820
100434_s_at	U57822
100435_at	U13370
100436_at	M27008
100437_g_at	M27008
100438_at	U46923
100439_i_at	U76758
100440_f_at	U76758
100441_s_at	X69064
100442_at	AA656541
100443_at	AF031467
100444_at	D29678
100445_f_at	X91825
100446_r_at	X91825
100447_at	AJ000059
100448_at	Z31664
100449_g_at	Z31664
100450_r_at	L48015
100451_at	AF059275
100452_at	M97200
100453_at	X63615
100454_at	D88187
100455_at	M83985
100457_at	X84037
100458_at	X61450
100459_at	U66887
100460_at	L49502
100461_at	D85818
100462_at	D87903
100463_at	D10215
100464_at	AI840585
100465_i_at	AA655823
100466_f_at	AA655823
100467_at	X57687
100468_g_at	X57687
100469_at	D78642
100470_at	L35236
100471_at	AW048916
100472_at	D10727
100473_at	AI851750
100474_at	X99646
100475_at	D63902
100476_at	L20232
100477_at	M32486
100479_at	AA756653
100481_at	D38162
100482_at	AI836408
100483_at	M89641
100484_at	X66473
100486_at	U60453
100488_at	M24119
100489_at	U68171
100491_at	AF045692
100492_at	AW122807
100493_at	X90647
100494_at	M30641
100495_at	U24160
100496_at	U79523
100497_at	D38375
100498_g_at	D38375
100499_at	D29797
100500_at	U50406
100501_at	M80251
100502_at	L76947
100505_at	U71202
100507_at	Y09257
100508_at	AF015769
100509_at	AW121012
100510_at	AI839708
100511_at	AI154249
100512_at	AI838853
100513_at	AF075461
100514_at	M63660
100515_at	X54056
100516_at	AB030621
100518_at	D87899
100521_at	D32137
100522_s_at	U92454
100523_r_at	U92454
100525_at	X05830
100526_f_at	X64227
100527_at	AW124744
100528_at	AI852278
100529_at	U19854
100530_at	L07924
100533_s_at	M60285
100534_at	AI183109
100535_at	U76112
100536_at	AI839662
100537_at	AI836443
100538_at	M35725
100539_at	AI841279
100540_at	M63848
100542_at	U62765
100543_s_at	AA620184
100544_at	AW125534
100546_at	U89506
100547_at	AI836977
100548_at	L31958
100549_at	M13125
100550_f_at	AW060422
100551_r_at	AW060422
100552_at	M28233
100553_at	L46855
100554_at	AF053367
100555_at	AI846152
100556_at	AW121930
100557_g_at	AW121930
100558_at	AW060241
100559_at	AI853344
100560_at	U95116
100561_at	AW209098
100562_at	AI846319
100564_at	AF068199
100565_at	AW123396
100566_at	L12447
100567_at	M20497
100568_at	U90446
100569_at	M14044
100570_at	U27462
100571_at	AW123934
100572_at	AI851289
100573_f_at	M14220
100574_f_at	L09104
100575_at	AI841645
100576_at	U57746
100577_at	M58558
100578_at	M33934
100579_s_at	U91848
100580_at	AA896182
100581_at	U59807
100582_at	AW123761
100583_at	J00475
100584_at	U72941
100585_at	U96809
100586_i_at	AI843959
100587_f_at	AI843959
100588_at	U60329
100589_at	AW047808
100592_at	AI929971
100593_at	L47600
100594_at	AB008895
100595_at	AF035644
100596_at	M32032
100597_at	AW049730
100599_at	M94087
100600_at	M58661
100601_at	AF022110
100602_at	M33330
100603_at	AF063231
100605_at	M81086
100606_at	M18070
100607_at	AF026124
100608_at	X95641
100609_at	AF049850
100610_at	AF058298
100611_at	M21050
100612_at	K02927
100613_at	AF030635
100614_at	X04405
100615_at	X04405
100616_at	AF012710
100617_at	U10404
100618_f_at	AA062013
100619_r_at	AA062013
100620_at	D29987
100621_at	AI848825
100622_at	AF093857
100623_at	AB017156
100626_at	AF034105
100628_at	AI840263
100629_at	U24428
100630_f_at	AA241764
100631_r_at	AA241764
100632_at	AF036535
100633_at	AW124268
100634_at	AF056194
100635_at	L20294
100636_at	U28656
100669_at	L13839
100670_at	L42338
100671_at	M68944
100672_at	M33467
100673_f_at	U10091
100674_f_at	U10092
100675_at	AF024620
100676_at	AF026123
100677_f_at	AF011419
100678_s_at	AF011413
100679_at	AF011426
100680_at	U41636
100681_f_at	V00829
100682_f_at	U62386
100683_r_at	U62386
100684_at	U92794
100685_at	M10937
100686_at	M20632
100687_f_at	AF011424
100688_at	M60559
100689_at	M35732
100690_at	M69200
100691_at	L42337
100692_at	X16301
100693_at	X59300
