TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hsa04015	Rap1 signaling pathway	9.25585537503915e-08	-16.1954243791788	213	33	0.0866141732283465	381	6715	7010,2258,1432,5156,5154,23683,5906,3480,1499,10411,2771,2247,9693,5295,7422,23236,5605,260425,5898,2778,4301,3643,10000,2321,3688,80310,4254,5332,2252,2776,9863,284,56288	TEK,FGF13,MAPK14,PDGFRA,PDGFA,PRKD3,RAP1A,IGF1R,CTNNB1,RAPGEF3,GNAI2,FGF2,RAPGEF2,PIK3R1,VEGFA,PLCB1,MAP2K2,MAGI3,RALA,GNAS,MLLT4,INSR,AKT3,FLT1,ITGB1,PDGFD,KITLG,PLCB4,FGF7,GNAQ,MAGI2,ANGPT1,PARD3
ko04015	Rap1 signaling pathway	9.25585537503915e-08	-16.1954243791788	213	33	0.0866141732283465	381	6715	7010,2258,1432,5156,5154,23683,5906,3480,1499,10411,2771,2247,9693,5295,7422,23236,5605,260425,5898,2778,4301,3643,10000,2321,3688,80310,4254,5332,2252,2776,9863,284,56288	TEK,FGF13,MAPK14,PDGFRA,PDGFA,PRKD3,RAP1A,IGF1R,CTNNB1,RAPGEF3,GNAI2,FGF2,RAPGEF2,PIK3R1,VEGFA,PLCB1,MAP2K2,MAGI3,RALA,GNAS,MLLT4,INSR,AKT3,FLT1,ITGB1,PDGFD,KITLG,PLCB4,FGF7,GNAQ,MAGI2,ANGPT1,PARD3
ko04520	Adherens junction	4.83113548225822e-05	-9.9378439354405	73	14	0.036745406824147	381	6715	4301,2241,3643,4087,3480,1499,8826,87,6885,7414,7048,4089,56288,6934	MLLT4,FER,INSR,SMAD2,IGF1R,CTNNB1,IQGAP1,ACTN1,MAP3K7,VCL,TGFBR2,SMAD4,PARD3,TCF7L2
hsa04520	Adherens junction	4.83113548225822e-05	-9.9378439354405	73	14	0.036745406824147	381	6715	4301,2241,3643,4087,3480,1499,8826,87,6885,7414,7048,4089,56288,6934	MLLT4,FER,INSR,SMAD2,IGF1R,CTNNB1,IQGAP1,ACTN1,MAP3K7,VCL,TGFBR2,SMAD4,PARD3,TCF7L2
ko04120	Ubiquitin mediated proteolysis	8.08170899073063e-05	-9.42332210604826	137	20	0.05249343832021	381	6715	55958,9320,9886,26272,83737,7332,8450,9354,3093,4734,11060,8065,8881,996,10075,8925,23759,7322,51465,11059	KLHL9,TRIP12,RHOBTB1,FBXO4,ITCH,UBE2L3,CUL4B,UBE4A,UBE2K,NEDD4,WWP2,CUL5,CDC16,CDC27,HUWE1,HERC1,PPIL2,UBE2D2,UBE2J1,WWP1
hsa04120	Ubiquitin mediated proteolysis	8.08170899073063e-05	-9.42332210604826	137	20	0.05249343832021	381	6715	55958,9320,9886,26272,83737,7332,8450,9354,3093,4734,11060,8065,8881,996,10075,8925,23759,7322,51465,11059	KLHL9,TRIP12,RHOBTB1,FBXO4,ITCH,UBE2L3,CUL4B,UBE4A,UBE2K,NEDD4,WWP2,CUL5,CDC16,CDC27,HUWE1,HERC1,PPIL2,UBE2D2,UBE2J1,WWP1
hsa04151	PI3K-Akt signaling pathway	0.000121123750911127	-9.01869780020175	346	37	0.0971128608923885	381	6715	7010,55970,2258,6256,7531,5156,5154,3480,2690,596,894,7099,1386,1021,3910,6655,1975,2247,5295,4170,7422,5605,7532,5529,3643,5525,10000,59345,2321,3688,80310,5527,4254,2932,2252,6198,284	TEK,GNG12,FGF13,RXRA,YWHAE,PDGFRA,PDGFA,IGF1R,GHR,BCL2,CCND2,TLR4,ATF2,CDK6,LAMA4,SOS2,EIF4B,FGF2,PIK3R1,MCL1,VEGFA,MAP2K2,YWHAG,PPP2R5E,INSR,PPP2R5A,AKT3,GNB4,FLT1,ITGB1,PDGFD,PPP2R5C,KITLG,GSK3B,FGF7,RPS6KB1,ANGPT1
ko04151	PI3K-Akt signaling pathway	0.000121123750911127	-9.01869780020175	346	37	0.0971128608923885	381	6715	7010,55970,2258,6256,7531,5156,5154,3480,2690,596,894,7099,1386,1021,3910,6655,1975,2247,5295,4170,7422,5605,7532,5529,3643,5525,10000,59345,2321,3688,80310,5527,4254,2932,2252,6198,284	TEK,GNG12,FGF13,RXRA,YWHAE,PDGFRA,PDGFA,IGF1R,GHR,BCL2,CCND2,TLR4,ATF2,CDK6,LAMA4,SOS2,EIF4B,FGF2,PIK3R1,MCL1,VEGFA,MAP2K2,YWHAG,PPP2R5E,INSR,PPP2R5A,AKT3,GNB4,FLT1,ITGB1,PDGFD,PPP2R5C,KITLG,GSK3B,FGF7,RPS6KB1,ANGPT1
hsa04141	Protein processing in endoplasmic reticulum	0.000171019807494842	-8.67373117486661	167	22	0.057742782152231	381	6715	5599,4287,3300,80267,2923,55757,56886,4121,5886,6745,824,9373,6238,7322,51465,55968,596,3998,23471,8720,4780,54788	MAPK8,ATXN3,DNAJB2,EDEM3,PDIA3,UGGT2,UGGT1,MAN1A1,RAD23A,SSR1,CAPN2,PLAA,RRBP1,UBE2D2,UBE2J1,NSFL1C,BCL2,LMAN1,TRAM1,MBTPS1,NFE2L2,DNAJB12
ko04141	Protein processing in endoplasmic reticulum	0.000171019807494842	-8.67373117486661	167	22	0.057742782152231	381	6715	5599,4287,3300,80267,2923,55757,56886,4121,5886,6745,824,9373,6238,7322,51465,55968,596,3998,23471,8720,4780,54788	MAPK8,ATXN3,DNAJB2,EDEM3,PDIA3,UGGT2,UGGT1,MAN1A1,RAD23A,SSR1,CAPN2,PLAA,RRBP1,UBE2D2,UBE2J1,NSFL1C,BCL2,LMAN1,TRAM1,MBTPS1,NFE2L2,DNAJB12
