TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011011	Znf_FYVE_PHD	7.31551889725455e-09	-18.7332678689335	135	28	0.0260223048327138	1076	17814	51105,8284,55870,23469,546,55904,10771,51131,7468,55680,54904,115825,51773,8411,9372,55632,51230,4302,64324,57590,29994,22992,6672,5253,1108,200576,22823,7994	PHF20L1,KDM5D,ASH1L,PHF3,ATRX,KMT2E,ZMYND11,PHF11,WHSC1,RUFY2,WHSC1L1,WDFY2,RSF1,EEA1,ZFYVE9,G2E3,PHF20,MLLT6,NSD1,WDFY1,BAZ2B,KDM2A,SP100,PHF2,CHD4,PIKFYVE,MTF2,KAT6A
IPR016024	ARM-type_fold	1.03798385719811e-08	-18.3834005111619	338	49	0.0455390334572491	1076	17814	9320,4763,23451,55183,54919,8672,23041,3709,25836,9731,1499,25896,10075,25814,23198,26046,253260,1983,23332,3837,1315,9736,83876,5591,10735,133015,1730,8546,25938,6051,57650,23244,23116,63897,5529,1981,7514,3840,9373,3839,5525,23063,10153,253959,51719,5527,55705,164,5711	TRIP12,NF1,SF3B1,RIF1,HEATR2,EIF4G3,MON2,ITPR2,NIPBL,CEP104,CTNNB1,INTS7,HUWE1,ATXN10,PSME4,LTN1,RICTOR,EIF5,CLASP1,KPNB1,COPB1,USP34,MRO,PRKDC,STAG2,PACRGL,DIAPH2,AP3B1,HEATR5A,RNPEP,KIAA1524,PDS5A,FAM179B,HEATR6,PPP2R5E,EIF4G1,XPO1,KPNA4,PLAA,KPNA3,PPP2R5A,WAPAL,CEBPZ,RALGAPA1,CAB39,PPP2R5C,IPO9,AP1G1,PSMD5
IPR001965	Znf_PHD	1.57861905064729e-08	-17.9641302976681	91	22	0.0204460966542751	1076	17814	51105,8284,55870,23469,55904,10771,51131,7468,54904,51773,84295,55632,51230,4302,64324,29994,6672,22992,5253,1108,22823,7994	PHF20L1,KDM5D,ASH1L,PHF3,KMT2E,ZMYND11,PHF11,WHSC1,WHSC1L1,RSF1,PHF6,G2E3,PHF20,MLLT6,NSD1,BAZ2B,SP100,KDM2A,PHF2,CHD4,MTF2,KAT6A
IPR019786	Zinc_finger_PHD-type_CS	5.52498904224013e-08	-16.7113994798555	67	18	0.016728624535316	1076	17814	51105,8284,55870,23469,55904,10771,7468,54904,51773,55632,51230,4302,64324,6672,22992,5253,1108,22823	PHF20L1,KDM5D,ASH1L,PHF3,KMT2E,ZMYND11,WHSC1,WHSC1L1,RSF1,G2E3,PHF20,MLLT6,NSD1,SP100,KDM2A,PHF2,CHD4,MTF2
IPR019787	Znf_PHD-finger	2.49229788585767e-07	-15.2048905203161	81	19	0.0176579925650558	1076	17814	51105,8284,55870,23469,55904,10771,7468,54904,51773,51230,4302,64324,29994,6672,22992,5253,1108,22823,7994	PHF20L1,KDM5D,ASH1L,PHF3,KMT2E,ZMYND11,WHSC1,WHSC1L1,RSF1,PHF20,MLLT6,NSD1,BAZ2B,SP100,KDM2A,PHF2,CHD4,MTF2,KAT6A
IPR011989	ARM-like	3.65968331809571e-07	-14.820719032399	209	33	0.0306691449814126	1076	17814	9320,4763,23451,55183,54919,23041,25836,9731,1499,25896,25814,23198,253260,23332,1315,3837,83876,5591,133015,8546,25938,57650,23116,23244,63897,5529,3840,7514,3839,51719,55705,164,5711	TRIP12,NF1,SF3B1,RIF1,HEATR2,MON2,NIPBL,CEP104,CTNNB1,INTS7,ATXN10,PSME4,RICTOR,CLASP1,COPB1,KPNB1,MRO,PRKDC,PACRGL,AP3B1,HEATR5A,KIAA1524,FAM179B,PDS5A,HEATR6,PPP2R5E,KPNA4,XPO1,KPNA3,CAB39,IPO9,AP1G1,PSMD5
IPR000504	RRM_dom	1.20426686078483e-06	-13.6296395904672	220	33	0.0306691449814126	1076	17814	84365,55599,2130,10659,80315,57466,7072,22985,9667,220988,5936,55696,3191,23435,55285,4850,27332,4841,1975,6430,10181,10492,58517,9908,6294,60677,27336,23350,113251,64062,10891,10146,132864	NIFK,RNPC3,EWSR1,CELF2,CPEB4,SCAF4,TIA1,ACIN1,SAFB2,HNRNPA3,RBM4,RBM22,HNRNPL,TARDBP,RBM41,CNOT4,ZNF638,NONO,EIF4B,SRSF5,RBM5,SYNCRIP,RBM25,G3BP2,SAFB,CELF6,HTATSF1,U2SURP,LARP4,RBM26,PPARGC1A,G3BP1,CPEB2
IPR000569	HECT	2.03165654905455e-06	-13.1066590636683	27	10	0.00929368029739777	1076	17814	9320,10075,83737,8925,79654,11059,55632,143279,4734,11060	TRIP12,HUWE1,ITCH,HERC1,HECTD3,WWP1,G2E3,HECTD2,NEDD4,WWP2
IPR012677	Nucleotide-bd_a/b_plait	4.11285057598336e-06	-12.4013941990663	243	34	0.0315985130111524	1076	17814	84365,23112,55599,2130,10659,80315,57466,7072,22985,9667,5073,220988,5936,55696,3191,23435,55285,4850,27332,4841,1975,6430,10181,10492,58517,9908,6294,60677,27336,23350,64062,10891,10146,132864	NIFK,TNRC6B,RNPC3,EWSR1,CELF2,CPEB4,SCAF4,TIA1,ACIN1,SAFB2,PARN,HNRNPA3,RBM4,RBM22,HNRNPL,TARDBP,RBM41,CNOT4,ZNF638,NONO,EIF4B,SRSF5,RBM5,SYNCRIP,RBM25,G3BP2,SAFB,CELF6,HTATSF1,U2SURP,RBM26,PPARGC1A,G3BP1,CPEB2
IPR014811	DUF1785	1.32411355941053e-05	-11.2321822411859	4	4	0.00371747211895911	1076	17814	192670,26523,192669,27161	AGO4,AGO1,AGO3,AGO2
