Probe Set ID	Representative Public ID
1007_s_at	U48705
1053_at	M87338
117_at	X51757
121_at	X69699
1255_g_at	L36861
1294_at	L13852
1316_at	X55005
1320_at	X79510
1405_i_at	M21121
1431_at	J02843
1438_at	X75208
1487_at	L38487
1494_f_at	M33318
1552256_a_at	NM_005505
1552257_a_at	NM_015140
1552258_at	NM_052871
1552261_at	NM_080735
1552263_at	NM_138957
1552264_a_at	NM_138957
1552266_at	NM_145004
1552269_at	NM_138796
1552271_at	NM_153359
1552272_a_at	NM_153359
1552274_at	BC014479
1552275_s_at	BG573647
1552276_a_at	NM_080432
1552277_a_at	NM_080655
1552278_a_at	NM_080669
1552279_a_at	AK074161
1552280_at	NM_138379
1552281_at	NM_173596
1552283_s_at	NM_024786
1552286_at	NM_080653
1552287_s_at	NM_001132
1552288_at	BC034926
1552289_a_at	BC034926
1552291_at	NM_017861
1552293_at	NM_152774
1552295_a_at	NM_152264
1552296_at	NM_153274
1552299_at	NM_145025
1552301_a_at	NM_032854
1552302_at	NM_145041
1552303_a_at	NM_145041
1552304_at	NM_032834
1552306_at	BC033730
1552307_a_at	NM_153211
1552309_a_at	NM_144573
1552310_at	NM_144597
1552311_a_at	NM_032753
1552312_a_at	NM_005927
1552314_a_at	NM_172098
1552315_at	NM_130759
1552316_a_at	NM_130759
1552318_at	AK091818
1552319_a_at	NM_144506
1552320_a_at	NM_033124
1552321_a_at	NM_033124
1552322_at	NM_138819
1552323_s_at	NM_138819
1552325_at	NM_145020
1552326_a_at	NM_145020
1552327_at	NM_152583
1552329_at	BC029352
1552330_at	NM_145039
1552332_at	NM_138632
1552334_at	BG571343
1552335_at	NM_053054
1552337_s_at	NM_014621
1552338_at	AY177407
1552340_at	NM_152860
1552343_s_at	NM_002604
1552344_s_at	NM_054026
1552347_at	NM_145311
1552348_at	NM_152891
1552349_a_at	NM_152891
1552354_at	NM_152769
1552355_s_at	NM_152769
1552359_at	AL833526
1552360_a_at	NM_052887
1552362_a_at	NM_052971
1552364_s_at	BC001526
1552365_at	NM_033128
1552367_a_at	AF276507
1552368_at	NM_080618
1552370_at	NM_173487
1552372_at	BC016358
1552373_s_at	BC016358
1552375_at	NM_032433
1552377_s_at	NM_145301
1552378_s_at	NM_172037
1552379_at	BG677577
1552381_at	NM_080743
1552383_at	NM_153606
1552384_a_at	NM_153606
1552386_at	NM_152687
1552388_at	NM_152514
1552389_at	NM_173549
1552390_a_at	NM_173549
1552391_at	NM_152610
1552393_at	NM_152512
1552394_a_at	NM_152512
1552395_at	NM_052841
1552396_at	NM_080827
1552398_a_at	NM_138337
1552399_a_at	NM_145696
1552400_a_at	NM_152335
1552401_a_at	NM_138332
1552402_at	NM_138705
1552405_at	NM_153447
1552408_at	NM_153007
1552409_a_at	NM_153007
1552410_at	NM_173535
1552411_at	NM_152251
1552412_a_at	NM_152251
1552414_at	NM_147198
1552415_a_at	NM_147198
1552417_a_at	NM_152905
1552418_at	NM_153254
1552419_s_at	NM_153254
1552421_a_at	NM_145046
1552422_at	NM_145022
1552423_at	NM_005240
1552424_at	NM_152467
1552425_a_at	NM_152467
1552426_a_at	NM_078474
1552427_at	NM_145312
1552430_at	NM_170710
1552432_at	BC040487
1552436_a_at	NM_052836
1552438_a_at	NM_144708
1552439_s_at	NM_032445
1552440_at	BC034761
1552445_a_at	NM_153448
1552448_a_at	NM_054017
1552449_a_at	NM_145651
1552450_a_at	NM_173650
1552452_at	NM_173479
1552453_a_at	NM_173479
1552455_at	NM_138818
1552456_a_at	NM_144614
1552457_a_at	NM_052866
1552458_at	NM_145208
1552459_a_at	NM_145208
1552461_at	NM_152630
1552463_at	NM_080475
1552466_x_at	NM_145033
1552467_at	NM_148676
1552468_a_at	NM_148676
1552470_a_at	NM_148914
1552472_a_at	NM_012287
1552473_at	NM_138924
1552474_a_at	NM_138924
1552476_s_at	NM_133373
1552477_a_at	BC014852
1552478_a_at	NM_006147
1552480_s_at	NM_080923
1552481_s_at	NM_006699
1552482_at	NM_025252
1552484_at	NM_144775
1552485_at	NM_171846
1552486_s_at	NM_171846
1552487_a_at	NM_001717
1552489_s_at	NM_033066
1552490_at	NM_145315
1552491_at	NM_033261
1552493_s_at	NM_000497
1552494_at	NM_138572
1552496_a_at	NM_015198
1552497_a_at	NM_052931
1552498_at	NM_145238
1552499_a_at	NM_145238
1552501_a_at	NM_170699
1552502_s_at	NM_017821
1552503_at	NM_032863
1552504_a_at	NM_032430
1552506_at	NM_173689
1552507_at	NM_080671
1552508_at	NM_080671
1552509_a_at	NM_145273
1552510_at	NM_080877
1552511_a_at	NM_020361
1552514_at	NM_152613
1552515_at	NM_152696
1552516_a_at	NM_152696
1552518_s_at	NM_022045
1552519_at	NM_145259
1552520_at	BC030710
1552521_a_at	BC030710
1552522_at	NM_145720
1552523_a_at	NM_145720
1552524_at	NM_053017
1552526_at	NM_153364
1552528_at	NM_058189
1552531_a_at	NM_145007
1552532_a_at	NM_144583
1552535_at	NM_148960
1552536_at	NM_145206
1552538_a_at	NM_145027
1552540_s_at	NM_138451
1552541_at	NM_138810
1552542_s_at	NM_138810
1552543_a_at	NM_033104
1552544_at	BC040857
1552546_a_at	NM_144652
1552548_at	NM_057176
1552549_a_at	NM_057176
1552552_s_at	NM_130441
1552553_a_at	NM_021209
1552554_a_at	AY027790
1552555_at	NM_173502
1552557_a_at	NM_144969
1552558_a_at	NM_152256
1552559_a_at	NM_139158
1552562_at	NM_144694
1552563_a_at	NM_145656
1552564_at	NM_153205
1552566_at	NM_144587
1552568_at	NM_031440
1552569_a_at	NM_031440
1552570_at	NM_144991
1552572_a_at	NM_138731
1552573_s_at	NM_138731
1552575_a_at	NM_153344
1552576_at	NM_145300
1552578_a_at	NM_138995
1552579_a_at	NM_003813
1552580_at	NM_173553
1552582_at	NM_172025
1552583_s_at	NM_172025
1552584_at	NM_153701
1552585_s_at	NM_172196
1552586_at	NM_145068
1552587_at	NM_173538
1552588_a_at	NM_173538
1552590_a_at	NM_145189
1552592_at	NM_147191
1552594_at	NM_139172
1552596_at	NM_139285
1552598_at	NM_133490
1552599_at	NM_152990
1552602_at	NM_145811
1552604_at	NM_153203
1552605_s_at	NM_153203
1552607_at	NM_173168
1552608_at	NM_147197
1552609_s_at	NM_172139
1552610_a_at	NM_002227
1552611_a_at	AL555086
1552612_at	NM_020240
1552613_s_at	NM_020240
1552615_at	NM_001093
1552616_a_at	NM_001093
1552617_a_at	NM_022457
1552618_at	NM_005819
1552619_a_at	NM_018685
1552620_at	NM_173080
1552621_at	BQ613856
1552622_s_at	BQ613856
1552623_at	BC025237
1552625_a_at	AB063105
1552626_a_at	NM_030923
1552627_a_at	NM_001173
1552628_a_at	NM_022373
1552629_a_at	NM_015167
1552630_a_at	NM_006662
1552631_a_at	NM_145319
1552632_a_at	BC012375
1552633_at	NM_033204
1552634_a_at	NM_033204
1552637_at	NM_080601
1552639_at	NM_138433
1552641_s_at	NM_031921
1552643_at	NM_145297
1552644_a_at	NM_024947
1552646_at	NM_147162
1552648_a_at	NM_003844
1552649_a_at	NM_057178
1552651_a_at	AK093112
1552652_at	NM_152843
1552656_s_at	NM_144624
1552657_a_at	NM_032243
1552658_a_at	NM_014903
1552660_a_at	BC021215
1552661_at	NM_032101
1552662_a_at	NM_032101
1552663_a_at	NM_015064
1552664_at	NM_144997
1552665_at	NM_032903
1552666_a_at	NM_020794
1552667_a_at	NM_005489
1552669_at	NM_024607
1552670_a_at	NM_024607
1552671_a_at	NM_032591
1552672_a_at	NM_001542
1552673_at	NM_173560
1552674_at	NM_052952
1552675_at	NM_145174
1552676_at	NM_053049
1552677_a_at	NM_015151
1552678_a_at	NM_020886
1552680_a_at	NM_020380
1552682_a_at	NM_144508
1552684_a_at	NM_145204
1552685_a_at	NM_014552
1552686_at	NM_080834
1552687_a_at	NM_080834
1552689_at	NM_020764
1552690_a_at	NM_172364
1552691_at	NM_138450
1552693_at	NM_138450
1552694_at	NM_052885
1552695_a_at	NM_052885
1552696_at	NM_144599
1552698_at	NM_145042
1552701_a_at	NM_052889
1552703_s_at	NM_052889
1552705_at	BC035000
1552708_a_at	AB038770
1552711_a_at	NM_144607
1552712_a_at	NM_170706
1552713_a_at	NM_000342
1552714_at	NM_153836
1552715_a_at	NM_021634
1552716_at	NM_144722
1552717_s_at	NM_153243
1552718_at	NM_080820
1552719_at	NM_138423
1552721_a_at	NM_033136
1552722_at	NM_016300
1552724_at	AY099086
1552725_s_at	NM_139057
1552726_at	AA022668
1552727_s_at	AA022668
1552729_at	NM_032887
1552730_at	NM_021044
1552731_at	NM_139166
1552732_at	AL832152
1552733_at	NM_172193
1552734_at	NM_152756
1552735_at	AL832028
1552736_a_at	NM_138966
1552737_s_at	NM_007014
1552738_a_at	NM_138729
1552739_s_at	NM_138729
1552740_at	NM_144706
1552742_at	NM_144633
1552743_at	NM_024979
1552745_at	NM_173488
1552747_a_at	NM_144714
1552749_a_at	NM_145275
1552750_at	NM_054113
1552751_a_at	NM_054113
1552752_a_at	NM_153184
1552754_a_at	AA640422
1552755_at	NM_152569
1552757_s_at	AI478419
1552758_at	NM_058176
1552760_at	BM726008
1552761_at	NM_153357
1552763_at	NM_153704
1552765_x_at	NM_153704
1552766_at	NM_147174
1552767_a_at	NM_147174
1552768_at	NM_172207
1552769_at	NM_145233
1552770_s_at	NM_145276
1552771_a_at	NM_173083
1552772_at	NM_080387
1552773_at	BC032313
1552774_a_at	NM_004277
1552775_at	NM_148963
1552777_a_at	NM_139165
1552779_a_at	NM_152697
1552782_at	AK091400
1552783_at	NM_152475
