TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00249	PHD	2.1704785953273e-07	-15.3431479568816	91	22	0.0342679127725857	642	9111	51105,8284,55870,23469,55904,10771,51131,7468,54904,51773,84295,55632,51230,4302,64324,29994,6672,22992,5253,1108,22823,7994	PHF20L1,KDM5D,ASH1L,PHF3,KMT2E,ZMYND11,PHF11,WHSC1,WHSC1L1,RSF1,PHF6,G2E3,PHF20,MLLT6,NSD1,BAZ2B,SP100,KDM2A,PHF2,CHD4,MTF2,KAT6A
SM00360	RRM	1.81760028549748e-05	-10.9154083583517	216	33	0.0514018691588785	642	9111	84365,55599,2130,10659,80315,57466,7072,22985,9667,220988,5936,55696,3191,23435,55285,4850,27332,4841,1975,6430,10181,10492,58517,9908,6294,60677,27336,23350,113251,64062,10891,10146,132864	NIFK,RNPC3,EWSR1,CELF2,CPEB4,SCAF4,TIA1,ACIN1,SAFB2,HNRNPA3,RBM4,RBM22,HNRNPL,TARDBP,RBM41,CNOT4,ZNF638,NONO,EIF4B,SRSF5,RBM5,SYNCRIP,RBM25,G3BP2,SAFB,CELF6,HTATSF1,U2SURP,LARP4,RBM26,PPARGC1A,G3BP1,CPEB2
SM00119	HECTc	4.25572106845734e-05	-10.064661253505	26	9	0.014018691588785	642	9111	9320,10075,83737,8925,79654,11059,143279,4734,11060	TRIP12,HUWE1,ITCH,HERC1,HECTD3,WWP1,HECTD2,NEDD4,WWP2
SM00456	WW	7.14782677454016e-05	-9.54611710208251	47	12	0.0186915887850467	642	9111	1756,51741,83737,8826,25937,11059,9863,10915,260425,4734,11060,55660	DMD,WWOX,ITCH,IQGAP1,WWTR1,WWP1,MAGI2,TCERG1,MAGI3,NEDD4,WWP2,PRPF40A
SM00523	DWA	7.65004793607451e-05	-9.47821355099789	12	6	0.00934579439252336	642	9111	4090,4087,4089,4092,4784,4774	SMAD5,SMAD2,SMAD4,SMAD7,NFIX,NFIA
SM00570	AWS	0.000115349875292878	-9.06754065446449	5	4	0.00623052959501558	642	9111	7468,54904,64324,55870	WHSC1,WHSC1L1,NSD1,ASH1L
SM00949	PAZ	0.000169763377125644	-8.68110498976653	9	5	0.00778816199376947	642	9111	192670,26523,192669,23405,27161	AGO4,AGO1,AGO3,DICER1,AGO2
SM00293	PWWP	0.000344905595387214	-7.97223981493703	15	6	0.00934579439252336	642	9111	7468,54904,64324,1788,3068,10771	WHSC1,WHSC1L1,NSD1,DNMT3A,HDGF,ZMYND11
SM00717	SANT	0.000481342367290368	-7.63893175874694	49	11	0.0171339563862928	642	9111	55636,6599,54856,114803,57708,55814,2145,6601,9988,55320,6871	CHD7,SMARCC1,GON4L,MYSM1,MIER1,BDP1,EZH1,SMARCC2,DMTF1,MIS18BP1,TADA2A
SM00033	CH	0.000589174923249465	-7.43678743495793	66	13	0.0202492211838006	642	9111	10634,1756,9459,8874,6711,8826,23224,23384,92521,87,23499,23301,23143	GAS2L1,DMD,ARHGEF6,ARHGEF7,SPTBN1,IQGAP1,SYNE2,SPECC1L,SPECC1,ACTN1,MACF1,EHBP1,LRCH1
